('2015-02-07 10:01:35.122850', 'worker [1] started')
('2015-02-07 10:01:35.122910', 'client 9 initted')
('2015-02-07 10:01:36.005961', 'put_channel : channel login, group 1, time 2015-02-07 10:01:36.005898')
('2015-02-07 10:01:36.009167', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-02-07 10:01:36.009829', 'put_channel : channel login, group 0, time 2015-02-07 10:01:36.009754')
('2015-02-07 10:01:36.020345', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-02-07 10:01:37.506823', 'put_channel : channel login, group 1, time 2015-02-07 10:01:37.506759')
('2015-02-07 10:01:37.507214', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-02-07 10:01:37.508252', 'put_channel : channel login, group 0, time 2015-02-07 10:01:37.508216')
('2015-02-07 10:01:37.522084', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-02-07 10:01:39.008101', 'put_channel : channel login, group 1, time 2015-02-07 10:01:39.008038')
('2015-02-07 10:01:39.008507', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-02-07 10:01:39.008910', 'put_channel : channel login, group 0, time 2015-02-07 10:01:39.008880')
('2015-02-07 10:01:39.023720', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-02-07 10:01:40.506598', 'put_channel : channel login, group 1, time 2015-02-07 10:01:40.506533')
('2015-02-07 10:01:40.506940', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-02-07 10:01:40.508198', 'put_channel : channel login, group 0, time 2015-02-07 10:01:40.508159')
('2015-02-07 10:01:40.525274', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-02-07 10:01:42.008069', 'put_channel : channel login, group 1, time 2015-02-07 10:01:42.007994')
('2015-02-07 10:01:42.008553', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-02-07 10:01:42.010090', 'put_channel : channel login, group 0, time 2015-02-07 10:01:42.010051')
('2015-02-07 10:32:31.506106', 'put_channel : channel tb0, group 1, time 2015-02-07 10:32:31.506009')
('2015-02-07 10:32:31.507919', 'put_channel : channel tb0, group 0, time 2015-02-07 10:32:31.507879')
('2015-02-07 10:32:33.006614', 'put_channel : channel tb0, group 1, time 2015-02-07 10:32:33.006552')
('2015-02-07 10:32:33.008324', 'put_channel : channel tb0, group 0, time 2015-02-07 10:32:33.008290')
('2015-02-07 10:32:34.508209', 'put_channel : channel tb0, group 1, time 2015-02-07 10:32:34.508133')
('2015-02-07 10:32:34.510281', 'put_channel : channel tb0, group 0, time 2015-02-07 10:32:34.510240')
('2015-02-07 10:32:36.008673', 'put_channel : channel tb0, group 1, time 2015-02-07 10:32:36.008612')
('2015-02-07 10:32:36.008918', 'put_channel : channel tb0, group 0, time 2015-02-07 10:32:36.008880')
('2015-02-07 10:32:37.508083', 'put_channel : channel tb0, group 1, time 2015-02-07 10:32:37.508019')
('2015-02-07 10:32:37.508443', 'put_channel : channel tb0, group 0, time 2015-02-07 10:32:37.508401')
('2015-02-07 10:32:39.006566', 'put_channel : channel tb0, group 1, time 2015-02-07 10:32:39.006504')
('2015-02-07 10:32:39.008032', 'put_channel : channel tb0, group 0, time 2015-02-07 10:32:39.007998')
('2015-02-07 10:32:40.505895', 'put_channel : channel tb0, group 1, time 2015-02-07 10:32:40.505835')
('2015-02-07 10:32:40.507700', 'put_channel : channel tb0, group 0, time 2015-02-07 10:32:40.507667')
('2015-02-07 10:32:42.006388', 'put_channel : channel tb0, group 1, time 2015-02-07 10:32:42.006326')
('2015-02-07 10:32:42.008392', 'put_channel : channel tb0, group 0, time 2015-02-07 10:32:42.008357')
('2015-02-07 10:32:43.507883', 'put_channel : channel tb0, group 1, time 2015-02-07 10:32:43.507822')
('2015-02-07 10:32:43.508200', 'put_channel : channel tb0, group 0, time 2015-02-07 10:32:43.508167')
('2015-02-07 10:32:45.006428', 'put_channel : channel tb0, group 1, time 2015-02-07 10:32:45.006367')
('2015-02-07 10:32:45.008089', 'put_channel : channel tb0, group 0, time 2015-02-07 10:32:45.008049')
('2015-02-07 10:32:46.509786', 'put_channel : channel tb0, group 1, time 2015-02-07 10:32:46.509721')
('2015-02-07 10:32:46.510446', 'put_channel : channel tb0, group 0, time 2015-02-07 10:32:46.510258')
('2015-02-07 10:32:48.006284', 'put_channel : channel tb0, group 1, time 2015-02-07 10:32:48.006205')
('2015-02-07 10:32:48.008286', 'put_channel : channel tb0, group 0, time 2015-02-07 10:32:48.008250')
('2015-02-07 10:32:49.506602', 'put_channel : channel tb0, group 1, time 2015-02-07 10:32:49.506541')
('2015-02-07 10:32:49.508314', 'put_channel : channel tb0, group 0, time 2015-02-07 10:32:49.508275')
('2015-02-07 10:32:51.008385', 'put_channel : channel tb0, group 0, time 2015-02-07 10:32:51.008323')
('2015-02-07 10:32:51.008678', 'put_channel : channel tb0, group 1, time 2015-02-07 10:32:51.008646')
('2015-02-07 10:32:52.506875', 'put_channel : channel tb0, group 1, time 2015-02-07 10:32:52.506814')
('2015-02-07 10:32:52.509290', 'put_channel : channel tb0, group 0, time 2015-02-07 10:32:52.509249')
('2015-02-07 10:32:54.006236', 'put_channel : channel tb0, group 1, time 2015-02-07 10:32:54.006153')
('2015-02-07 10:32:54.008335', 'put_channel : channel tb0, group 0, time 2015-02-07 10:32:54.008300')
('2015-02-07 10:32:55.507446', 'put_channel : channel tb0, group 1, time 2015-02-07 10:32:55.507386')
('2015-02-07 10:32:55.507791', 'put_channel : channel tb0, group 0, time 2015-02-07 10:32:55.507751')
('2015-02-07 10:32:57.006123', 'put_channel : channel tb0, group 1, time 2015-02-07 10:32:57.006067')
('2015-02-07 10:32:57.007517', 'put_channel : channel tb0, group 0, time 2015-02-07 10:32:57.007483')
('2015-02-07 10:32:58.506290', 'put_channel : channel tb0, group 1, time 2015-02-07 10:32:58.506225')
('2015-02-07 10:32:58.509711', 'put_channel : channel tb0, group 0, time 2015-02-07 10:32:58.509672')
('2015-02-07 10:33:00.007101', 'put_channel : channel tb0, group 1, time 2015-02-07 10:33:00.007022')
('2015-02-07 10:33:00.010650', 'put_channel : channel tb0, group 0, time 2015-02-07 10:33:00.010610')
