log/01_log_warning.log:('2015-03-21 11:30:17.240995', "client 52538800 bids finished. price : ['73700', None, None] . Quit.....")
log/01_log_warning.log:('2015-03-21 11:30:21.365465', "client 52714302 bids finished. price : ['73700', None, None] . Quit.....")
log/01_log_warning.log:('2015-03-21 11:30:21.366346', "client 52513775 bids finished. price : ['73700', None, None] . Quit.....")
log/01_log_warning.log:('2015-03-21 11:30:21.774104', "client 52537899 bids finished. price : ['73700', None, None] . Quit.....")
log/01_log_warning.log:('2015-03-21 11:30:23.382040', "client 52754974 bids finished. price : ['73700', None, None] . Quit.....")
log/01_log_warning.log:('2015-03-21 11:30:24.028279', "client 52549868 bids finished. price : ['73700', None, None] . Quit.....")
log/01_log_warning.log:('2015-03-21 11:30:24.033048', "client 52764203 bids finished. price : ['73700', None, None] . Quit.....")
log/01_log_warning.log:('2015-03-21 11:30:28.027960', "client 52721025 bids finished. price : ['73700', None, None] . Quit.....")
log/02_log_warning.log:('2015-03-21 11:30:16.677000', "client 52774746 bids finished. price : ['73700', None, None] . Quit.....")
log/02_log_warning.log:('2015-03-21 11:30:20.892614', "client 52570944 bids finished. price : ['73700', None, None] . Quit.....")
log/02_log_warning.log:('2015-03-21 11:30:20.897512', "client 52724457 bids finished. price : ['73700', None, None] . Quit.....")
log/02_log_warning.log:('2015-03-21 11:30:20.897792', "client 52783335 bids finished. price : ['73700', None, None] . Quit.....")
log/02_log_warning.log:('2015-03-21 11:30:22.333822', "client 52524872 bids finished. price : ['73700', None, None] . Quit.....")
log/02_log_warning.log:('2015-03-21 11:30:23.667483', "client 52536852 bids finished. price : ['73700', None, None] . Quit.....")
log/02_log_warning.log:('2015-03-21 11:30:23.668589', "client 52540397 bids finished. price : ['73700', None, None] . Quit.....")
log/02_log_warning.log:('2015-03-21 11:30:27.665608', "client 52776594 bids finished. price : ['73700', None, None] . Quit.....")
log/03_log_warning.log:('2015-03-21 11:30:16.864274', "client 52769151 bids finished. price : ['73700', None, None] . Quit.....")
log/03_log_warning.log:('2015-03-21 11:30:21.048987', "client 52708587 bids finished. price : ['73700', None, None] . Quit.....")
log/03_log_warning.log:('2015-03-21 11:30:21.084107', "client 52706082 bids finished. price : ['73700', None, None] . Quit.....")
log/03_log_warning.log:('2015-03-21 11:30:21.111969', "client 52736291 bids finished. price : ['73700', None, None] . Quit.....")
log/03_log_warning.log:('2015-03-21 11:30:21.186241', 'client 52711370 bids finished. price : [None, None, None] . Quit.....')
log/03_log_warning.log:('2015-03-21 11:30:21.233598', "client 52793547 bids finished. price : ['73700', None, None] . Quit.....")
log/03_log_warning.log:('2015-03-21 11:30:22.403884', "client 52523150 bids finished. price : ['73700', None, None] . Quit.....")
log/03_log_warning.log:('2015-03-21 11:30:27.857990', "client 52452992 bids finished. price : ['73700', None, None] . Quit.....")
log/04_log_warning.log:('2015-03-21 11:30:08.369057', "client 52470102 bids finished. price : [None, None, '74900'] . Quit.....")
log/04_log_warning.log:('2015-03-21 11:30:18.351765', "client 52711959 bids finished. price : ['73700', None, None] . Quit.....")
log/04_log_warning.log:('2015-03-21 11:30:21.059398', "client 52797238 bids finished. price : ['73700', None, None] . Quit.....")
log/04_log_warning.log:('2015-03-21 11:30:21.129628', 'client 52589453 bids finished. price : [None, None, None] . Quit.....')
log/04_log_warning.log:('2015-03-21 11:30:21.246668', "client 52531607 bids finished. price : ['73700', None, None] . Quit.....")
log/04_log_warning.log:('2015-03-21 11:30:21.677879', "client 52775928 bids finished. price : ['73700', None, None] . Quit.....")
log/04_log_warning.log:('2015-03-21 11:30:22.429438', "client 52548969 bids finished. price : ['73700', None, None] . Quit.....")
log/04_log_warning.log:('2015-03-21 11:30:23.331237', "client 52733543 bids finished. price : ['73700', None, None] . Quit.....")
log/05_log_warning.log:('2015-03-21 11:30:20.828770', "client 52501619 bids finished. price : ['73700', None, None] . Quit.....")
log/05_log_warning.log:('2015-03-21 11:30:20.829042', "client 52739178 bids finished. price : ['73700', None, None] . Quit.....")
log/05_log_warning.log:('2015-03-21 11:30:21.022689', "client 52586778 bids finished. price : ['73700', None, None] . Quit.....")
log/05_log_warning.log:('2015-03-21 11:30:21.033319', "client 52730437 bids finished. price : ['73700', None, None] . Quit.....")
log/05_log_warning.log:('2015-03-21 11:30:22.335083', "client 52725029 bids finished. price : ['73700', None, None] . Quit.....")
log/05_log_warning.log:('2015-03-21 11:30:27.817963', "client 52524913 bids finished. price : ['73700', None, None] . Quit.....")
log/05_log_warning.log:('2015-03-21 11:30:27.818228', "client 52795717 bids finished. price : ['73700', None, None] . Quit.....")
log/05_log_warning.log:('2015-03-21 11:30:27.818390', 'client 52455027 bids finished. price : [None, None, None] . Quit.....')
log/06_log_warning.log:('2015-03-21 11:30:18.393172', "client 52577715 bids finished. price : ['73700', None, None] . Quit.....")
log/06_log_warning.log:('2015-03-21 11:30:20.300042', "client 52764485 bids finished. price : ['73700', None, None] . Quit.....")
log/06_log_warning.log:('2015-03-21 11:30:20.913525', "client 52507643 bids finished. price : ['73700', None, None] . Quit.....")
log/06_log_warning.log:('2015-03-21 11:30:20.965352', "client 52724579 bids finished. price : ['73700', None, None] . Quit.....")
log/06_log_warning.log:('2015-03-21 11:30:21.145930', "client 52727207 bids finished. price : ['73700', None, None] . Quit.....")
log/06_log_warning.log:('2015-03-21 11:30:21.571628', "client 52777811 bids finished. price : ['73700', None, None] . Quit.....")
log/06_log_warning.log:('2015-03-21 11:30:21.711469', "client 52531570 bids finished. price : ['73700', None, None] . Quit.....")
log/06_log_warning.log:('2015-03-21 11:30:23.960572', "client 52743322 bids finished. price : ['73700', None, None] . Quit.....")
