('2014-10-18 09:18:41.351847', 'redis reader connect succeed')
('2014-10-18 09:18:41.352064', 'redis writer connect succeed')
('2014-10-18 09:18:41.385287', 'redis timer connect succeed')
('2014-10-18 09:18:41.405372', 'worker [3] started')
('2014-10-18 09:18:41.405461', 'client 11 initted')
('2014-10-18 09:18:42.013175', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2014-10-18 09:18:42.400460', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2014-10-18 09:18:43.012037', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2014-10-18 09:18:43.402291', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2014-10-18 09:18:44.010039', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2014-10-18 09:18:44.404411', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2014-10-18 09:18:45.010034', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2014-10-18 09:18:45.406118', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2014-10-18 09:18:46.012672', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2014-10-18 09:18:46.407868', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2014-10-18 09:18:47.010809', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:01.804715', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 49 tb0[1] 50 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:01.805681', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 49 tb0[1] 49 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:01.806346', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 48 tb0[1] 49 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:01.807104', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 48 tb0[1] 48 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:01.807618', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 47 tb0[1] 48 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:01.808089', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 47 tb0[1] 47 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:01.809015', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 46 tb0[1] 47 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:01.810063', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 46 tb0[1] 46 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:01.811264', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 45 tb0[1] 46 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:01.812081', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 45 tb0[1] 45 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:01.812992', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 44 tb0[1] 45 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:02.389313', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 45 tb0[1] 45 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:02.394743', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 44 tb0[1] 45 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:03.108445', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 44 tb0[1] 44 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:05.125102', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 44 tb0[1] 45 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:05.126534', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 44 tb0[1] 44 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:06.785409', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 44 tb0[1] 45 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:06.786404', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 44 tb0[1] 44 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:07.343392', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 43 tb0[1] 44 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:07.344811', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 43 tb0[1] 43 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:08.919426', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 43 tb0[1] 44 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:08.920395', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 43 tb0[1] 43 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:09.885433', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 42 tb0[1] 43 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:09.887085', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 42 tb0[1] 42 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:09.938539', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 41 tb0[1] 42 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:09.940066', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 41 tb0[1] 41 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:10.501661', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 41 tb0[1] 42 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:10.502934', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 41 tb0[1] 41 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:10.510274', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 40 tb0[1] 41 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:10.512360', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 40 tb0[1] 40 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:10.519983', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 39 tb0[1] 40 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:10.520763', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 39 tb0[1] 39 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:10.529832', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 38 tb0[1] 39 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:10.530740', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 38 tb0[1] 38 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:10.534888', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 37 tb0[1] 38 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:10.537239', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 37 tb0[1] 37 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:12.504090', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 37 tb0[1] 38 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:12.505090', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 37 tb0[1] 37 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:12.513316', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 36 tb0[1] 37 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:12.514105', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 36 tb0[1] 36 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:12.521866', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 35 tb0[1] 36 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:12.522659', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 35 tb0[1] 35 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:12.531811', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 34 tb0[1] 35 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:12.532599', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 34 tb0[1] 34 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:43:40.113182', 'redis reader connect succeed')
('2014-10-18 10:43:40.113397', 'redis writer connect succeed')
('2014-10-18 10:43:40.139128', 'redis timer connect succeed')
('2014-10-18 10:43:40.162384', 'worker [3] started')
('2014-10-18 10:43:40.162486', 'client 11 initted')
('2014-10-18 10:43:41.009966', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:43:41.157389', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:43:42.013253', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 1 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:43:42.159455', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 1 tb0[1] 1 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:43:43.012011', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 1 tb0[1] 1 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:43:43.161364', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 1 tb0[1] 1 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:43:44.011332', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 2 tb0[1] 2 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:43:44.163073', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 2 tb0[1] 2 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:43:45.009772', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 2 tb0[1] 2 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:43:45.164284', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 2 tb0[1] 2 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:43:46.010642', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 3 tb0[1] 3 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:45:02.874617', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 29 tb0[1] 30 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:45:02.875985', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 29 tb0[1] 29 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:45:02.877088', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 28 tb0[1] 29 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:45:02.878291', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 28 tb0[1] 28 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:45:02.879948', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 27 tb0[1] 28 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:45:02.881503', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 27 tb0[1] 27 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:45:02.883337', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 26 tb0[1] 27 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:45:02.885241', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 26 tb0[1] 26 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:45:02.887522', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 25 tb0[1] 26 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:45:02.905668', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 25 tb0[1] 25 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:45:02.917152', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 24 tb0[1] 25 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:45:03.829800', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 27 tb0[1] 27 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:45:08.563017', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 33 tb0[1] 34 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:45:08.564073', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 33 tb0[1] 33 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:45:09.250019', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 33 tb0[1] 34 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:45:09.251609', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 33 tb0[1] 33 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:45:10.934467', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 32 tb0[1] 33 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:45:10.935419', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 32 tb0[1] 32 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:45:11.023757', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 31 tb0[1] 32 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:45:11.024595', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 31 tb0[1] 31 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:45:11.944842', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 30 tb0[1] 31 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:45:11.945691', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 30 tb0[1] 30 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:45:11.948912', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 29 tb0[1] 30 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:45:11.949747', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 29 tb0[1] 29 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:45:11.952976', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 28 tb0[1] 29 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:45:11.953734', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 28 tb0[1] 28 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:45:11.956720', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 27 tb0[1] 28 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:45:11.957549', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 27 tb0[1] 27 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:45:11.961556', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 26 tb0[1] 27 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:45:11.962377', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 26 tb0[1] 26 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:45:11.965563', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 25 tb0[1] 26 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:45:11.966427', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 25 tb0[1] 25 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:45:12.936801', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 24 tb0[1] 25 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:45:12.938222', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 24 tb0[1] 24 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:45:12.975608', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 23 tb0[1] 24 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:45:12.977096', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 23 tb0[1] 23 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:45:13.026872', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 22 tb0[1] 23 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:45:13.027980', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 22 tb0[1] 22 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:45:13.947215', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 21 tb0[1] 22 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:45:13.948654', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 21 tb0[1] 21 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:45:13.951342', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 20 tb0[1] 21 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:45:13.952392', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 20 tb0[1] 20 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:45:13.954880', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 19 tb0[1] 20 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:45:13.956506', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 19 tb0[1] 19 , tb1[0] 0 tb1[1] 0')
