log/01_log_warning.log:('2015-01-17 11:30:12.068077', "client 52473949 bids finished. price : ['73700', None, None] . Quit.....")
log/01_log_warning.log:('2015-01-17 11:30:13.500819', "client 52421957 bids finished. price : ['73700', None, None] . Quit.....")
log/01_log_warning.log:('2015-01-17 11:30:16.074574', "client 52539291 bids finished. price : ['73700', None, None] . Quit.....")
log/01_log_warning.log:('2015-01-17 11:30:16.074877', "client 52344937 bids finished. price : ['73700', None, None] . Quit.....")
log/01_log_warning.log:('2015-01-17 11:30:16.080601', "client 52578503 bids finished. price : ['73700', None, None] . Quit.....")
log/01_log_warning.log:('2015-01-17 11:30:16.281828', "client 52488029 bids finished. price : ['73700', None, None] . Quit.....")
log/01_log_warning.log:('2015-01-17 11:30:17.500678', "client 52387909 bids finished. price : ['73700', None, None] . Quit.....")
log/01_log_warning.log:('2015-01-17 11:30:17.502507', "client 52398964 bids finished. price : ['73700', None, None] . Quit.....")
log/01_log_warning.log:('2015-01-17 11:30:23.323717', "client 52447343 bids finished. price : ['73700', None, None] . Quit.....")
log/02_log_warning.log:('2015-01-17 11:30:08.818365', "client 52449881 bids finished. price : ['73700', None, '74300'] . Quit.....")
log/02_log_warning.log:('2015-01-17 11:30:09.103868', "client 52366427 bids finished. price : ['73700', None, '74300'] . Quit.....")
log/02_log_warning.log:('2015-01-17 11:30:11.971805', "client 52749537 bids finished. price : ['73700', None, None] . Quit.....")
log/02_log_warning.log:('2015-01-17 11:30:11.981917', "client 52542536 bids finished. price : ['73700', None, None] . Quit.....")
log/02_log_warning.log:('2015-01-17 11:30:11.997635', "client 52790124 bids finished. price : ['73700', None, None] . Quit.....")
log/02_log_warning.log:('2015-01-17 11:30:12.189154', "client 52544528 bids finished. price : ['73700', None, None] . Quit.....")
log/02_log_warning.log:('2015-01-17 11:30:16.899831', "client 52543395 bids finished. price : ['73700', None, '74300'] . Quit.....")
log/02_log_warning.log:('2015-01-17 11:30:22.017756', "client 52504167 bids finished. price : ['73700', None, None] . Quit.....")
log/02_log_warning.log:('2015-01-17 11:30:22.303901', "client 52467954 bids finished. price : ['73700', None, None] . Quit.....")
log/03_log_warning.log:('2015-01-17 11:30:11.976709', "client 52362887 bids finished. price : ['73700', None, None] . Quit.....")
log/03_log_warning.log:('2015-01-17 11:30:12.185164', "client 52391269 bids finished. price : ['73700', None, None] . Quit.....")
log/03_log_warning.log:('2015-01-17 11:30:13.406057', "client 52508366 bids finished. price : ['73700', None, None] . Quit.....")
log/03_log_warning.log:('2015-01-17 11:30:16.189070', "client 52468962 bids finished. price : ['73700', None, None] . Quit.....")
log/03_log_warning.log:('2015-01-17 11:30:16.190297', "client 52564051 bids finished. price : ['73700', None, None] . Quit.....")
log/03_log_warning.log:('2015-01-17 11:30:22.313445', "client 52275282 bids finished. price : ['73700', None, None] . Quit.....")
log/03_log_warning.log:('2015-01-17 11:30:22.313829', "client 52497907 bids finished. price : ['73700', None, None] . Quit.....")
log/03_log_warning.log:('2015-01-17 11:30:22.313964', "client 52527130 bids finished. price : ['73700', None, None] . Quit.....")
log/03_log_warning.log:('2015-01-17 11:30:22.512133', "client 52441432 bids finished. price : ['73700', None, None] . Quit.....")
log/04_log_warning.log:('2015-01-17 11:30:09.031950', "client 52516955 bids finished. price : ['73700', None, '74300'] . Quit.....")
log/04_log_warning.log:('2015-01-17 11:30:10.882968', "client 52423778 bids finished. price : ['73700', None, '74300'] . Quit.....")
log/04_log_warning.log:('2015-01-17 11:30:12.088753', "client 52508949 bids finished. price : ['73700', None, None] . Quit.....")
log/04_log_warning.log:('2015-01-17 11:30:13.501577', "client 52558021 bids finished. price : ['73700', None, None] . Quit.....")
log/04_log_warning.log:('2015-01-17 11:30:16.076618', "client 52270173 bids finished. price : ['73700', None, None] . Quit.....")
log/04_log_warning.log:('2015-01-17 11:30:16.076925', "client 52550655 bids finished. price : ['73700', None, None] . Quit.....")
log/04_log_warning.log:('2015-01-17 11:30:22.415952', "client 52509524 bids finished. price : ['73700', None, None] . Quit.....")
log/04_log_warning.log:('2015-01-17 11:30:22.416339', "client 52483703 bids finished. price : ['73700', None, None] . Quit.....")
log/04_log_warning.log:('2015-01-17 11:30:23.079293', "client 52410654 bids finished. price : ['73700', None, None] . Quit.....")
log/05_log_warning.log:('2015-01-17 11:30:08.898766', "client 52454005 bids finished. price : ['73700', None, '74300'] . Quit.....")
log/05_log_warning.log:('2015-01-17 11:30:12.047561', "client 52518230 bids finished. price : ['73700', None, None] . Quit.....")
log/05_log_warning.log:('2015-01-17 11:30:12.239229', "client 52595824 bids finished. price : ['73700', None, None] . Quit.....")
log/05_log_warning.log:('2015-01-17 11:30:13.479364', "client 52524849 bids finished. price : ['73700', None, None] . Quit.....")
log/05_log_warning.log:('2015-01-17 11:30:16.039855', "client 52374632 bids finished. price : ['73700', None, None] . Quit.....")
log/05_log_warning.log:('2015-01-17 11:30:16.051800', "client 52585909 bids finished. price : ['73700', None, None] . Quit.....")
log/05_log_warning.log:('2015-01-17 11:30:22.013137', "client 52724457 bids finished. price : ['73700', None, None] . Quit.....")
log/05_log_warning.log:('2015-01-17 11:30:22.046818', "client 52431035 bids finished. price : ['73700', None, None] . Quit.....")
log/05_log_warning.log:('2015-01-17 11:30:23.113117', 'client 52531168 bids finished. price : [None, None, None] . Quit.....')
log/06_log_warning.log:('2015-01-17 11:30:12.077782', "client 52502954 bids finished. price : ['73700', None, None] . Quit.....")
log/06_log_warning.log:('2015-01-17 11:30:12.078137', "client 52570944 bids finished. price : ['73700', None, None] . Quit.....")
log/06_log_warning.log:('2015-01-17 11:30:13.501612', "client 52487347 bids finished. price : ['73700', None, None] . Quit.....")
log/06_log_warning.log:('2015-01-17 11:30:13.501867', "client 52521998 bids finished. price : ['73700', None, None] . Quit.....")
log/06_log_warning.log:('2015-01-17 11:30:15.434828', "client 52444716 bids finished. price : ['73700', None, None] . Quit.....")
log/06_log_warning.log:('2015-01-17 11:30:16.850399', "client 52729328 bids finished. price : ['73700', None, None] . Quit.....")
log/06_log_warning.log:('2015-01-17 11:30:17.000596', "client 52526040 bids finished. price : ['73700', None, '74300'] . Quit.....")
log/06_log_warning.log:('2015-01-17 11:30:22.421432', "client 52560819 bids finished. price : ['73700', None, None] . Quit.....")
log/06_log_warning.log:('2015-01-17 11:30:22.421674', "client 52364650 bids finished. price : ['73700', None, None] . Quit.....")
log/07_log_warning.log:('2015-01-17 11:30:10.232648', "client 52562774 bids finished. price : ['73700', None, '74300'] . Quit.....")
log/07_log_warning.log:('2015-01-17 11:30:12.067424', "client 52396468 bids finished. price : ['73700', None, None] . Quit.....")
log/07_log_warning.log:('2015-01-17 11:30:13.496531', "client 52456021 bids finished. price : ['73700', None, None] . Quit.....")
log/07_log_warning.log:('2015-01-17 11:30:16.277529', "client 52504282 bids finished. price : ['73700', None, None] . Quit.....")
log/07_log_warning.log:('2015-01-17 11:30:16.689149', "client 52451512 bids finished. price : ['73700', None, None] . Quit.....")
log/07_log_warning.log:('2015-01-17 11:30:17.014133', "client 52499129 bids finished. price : ['73700', None, '74300'] . Quit.....")
log/07_log_warning.log:('2015-01-17 11:30:17.495059', "client 52753130 bids finished. price : ['73700', None, None] . Quit.....")
log/07_log_warning.log:('2015-01-17 11:30:22.402397', "client 52549868 bids finished. price : ['73700', None, None] . Quit.....")
log/07_log_warning.log:('2015-01-17 11:30:22.602781', "client 52413311 bids finished. price : ['73700', None, None] . Quit.....")
log/08_log_warning.log:('2015-01-17 11:30:09.035938', "client 52720818 bids finished. price : ['73700', None, '74300'] . Quit.....")
log/08_log_warning.log:('2015-01-17 11:30:09.934352', "client 52463423 bids finished. price : ['73700', None, '74300'] . Quit.....")
log/08_log_warning.log:('2015-01-17 11:30:12.074828', "client 52487646 bids finished. price : ['73700', None, None] . Quit.....")
log/08_log_warning.log:('2015-01-17 11:30:12.411330', "client 52499368 bids finished. price : ['73700', None, None] . Quit.....")
log/08_log_warning.log:('2015-01-17 11:30:13.501653', "client 52411602 bids finished. price : ['73700', None, None] . Quit.....")
log/08_log_warning.log:('2015-01-17 11:30:15.415950', "client 52524872 bids finished. price : ['73700', None, None] . Quit.....")
log/08_log_warning.log:('2015-01-17 11:30:16.085917', "client 52396381 bids finished. price : ['73700', None, None] . Quit.....")
log/08_log_warning.log:('2015-01-17 11:30:16.086726', "client 52513775 bids finished. price : ['73700', None, None] . Quit.....")
log/08_log_warning.log:('2015-01-17 11:30:22.420212', "client 52737372 bids finished. price : ['73700', None, None] . Quit.....")
log/09_log_warning.log:('2015-01-17 11:30:12.067907', "client 52549400 bids finished. price : ['73700', None, None] . Quit.....")
log/09_log_warning.log:('2015-01-17 11:30:12.271951', "client 52311228 bids finished. price : ['73700', None, None] . Quit.....")
log/09_log_warning.log:('2015-01-17 11:30:12.277207', "client 52530960 bids finished. price : ['73700', None, None] . Quit.....")
log/09_log_warning.log:('2015-01-17 11:30:12.689767', "client 52353256 bids finished. price : ['73700', None, None] . Quit.....")
log/09_log_warning.log:('2015-01-17 11:30:13.497569', "client 52536852 bids finished. price : ['73700', None, None] . Quit.....")
log/09_log_warning.log:('2015-01-17 11:30:16.280626', "client 52417872 bids finished. price : ['73700', None, None] . Quit.....")
log/09_log_warning.log:('2015-01-17 11:30:16.280849', "client 52595327 bids finished. price : ['73700', None, None] . Quit.....")
log/09_log_warning.log:('2015-01-17 11:30:22.036981', "client 52552081 bids finished. price : ['73700', None, None] . Quit.....")
log/09_log_warning.log:('2015-01-17 11:30:22.678848', "client 52354039 bids finished. price : ['73700', None, '74300'] . Quit.....")
