('2015-03-21 09:55:29.218020', 'worker [1] started')
('2015-03-21 09:55:29.218085', 'client 8 initted')
('2015-03-21 09:55:30.008230', 'put_channel : channel login, group 0, time 2015-03-21 09:55:30.008161')
('2015-03-21 09:55:30.009009', 'put_channel : channel login, group 1, time 2015-03-21 09:55:30.008968')
('2015-03-21 09:55:30.014889', 'fd_channel : login[0] 1 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-03-21 09:55:30.116587', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-03-21 09:55:31.507443', 'put_channel : channel login, group 1, time 2015-03-21 09:55:31.507375')
('2015-03-21 09:55:31.507966', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-03-21 09:55:31.511770', 'put_channel : channel login, group 0, time 2015-03-21 09:55:31.511724')
('2015-03-21 09:55:31.618800', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-03-21 09:55:33.005536', 'put_channel : channel login, group 1, time 2015-03-21 09:55:33.005435')
('2015-03-21 09:55:33.005973', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-03-21 09:55:33.007974', 'put_channel : channel login, group 0, time 2015-03-21 09:55:33.007928')
('2015-03-21 09:55:33.120823', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-03-21 09:55:34.506700', 'put_channel : channel login, group 1, time 2015-03-21 09:55:34.506628')
('2015-03-21 09:55:34.507192', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-03-21 09:55:34.508391', 'put_channel : channel login, group 0, time 2015-03-21 09:55:34.508353')
('2015-03-21 09:55:34.622765', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-03-21 10:32:31.507860', 'put_channel : channel tb0, group 1, time 2015-03-21 10:32:31.507665')
('2015-03-21 10:32:31.508133', 'put_channel : channel tb0, group 0, time 2015-03-21 10:32:31.508059')
('2015-03-21 10:32:33.008216', 'put_channel : channel tb0, group 1, time 2015-03-21 10:32:33.008137')
('2015-03-21 10:32:33.008629', 'put_channel : channel tb0, group 0, time 2015-03-21 10:32:33.008588')
('2015-03-21 10:32:34.507573', 'put_channel : channel tb0, group 1, time 2015-03-21 10:32:34.507500')
('2015-03-21 10:32:34.509374', 'put_channel : channel tb0, group 0, time 2015-03-21 10:32:34.509332')
('2015-03-21 10:32:36.006107', 'put_channel : channel tb0, group 1, time 2015-03-21 10:32:36.006032')
('2015-03-21 10:32:36.007617', 'put_channel : channel tb0, group 0, time 2015-03-21 10:32:36.007566')
('2015-03-21 10:32:37.506706', 'put_channel : channel tb0, group 1, time 2015-03-21 10:32:37.506633')
('2015-03-21 10:32:37.508278', 'put_channel : channel tb0, group 0, time 2015-03-21 10:32:37.508237')
('2015-03-21 10:32:39.006842', 'put_channel : channel tb0, group 1, time 2015-03-21 10:32:39.006768')
('2015-03-21 10:32:39.009960', 'put_channel : channel tb0, group 0, time 2015-03-21 10:32:39.009912')
('2015-03-21 10:32:40.507213', 'put_channel : channel tb0, group 1, time 2015-03-21 10:32:40.507136')
('2015-03-21 10:32:40.509079', 'put_channel : channel tb0, group 0, time 2015-03-21 10:32:40.509019')
('2015-03-21 10:32:42.006443', 'put_channel : channel tb0, group 1, time 2015-03-21 10:32:42.006361')
('2015-03-21 10:32:42.008078', 'put_channel : channel tb0, group 0, time 2015-03-21 10:32:42.008017')
('2015-03-21 10:32:43.508063', 'put_channel : channel tb0, group 1, time 2015-03-21 10:32:43.507988')
('2015-03-21 10:32:43.509321', 'put_channel : channel tb0, group 0, time 2015-03-21 10:32:43.509280')
('2015-03-21 10:32:45.006509', 'put_channel : channel tb0, group 1, time 2015-03-21 10:32:45.006436')
('2015-03-21 10:32:45.008318', 'put_channel : channel tb0, group 0, time 2015-03-21 10:32:45.008275')
('2015-03-21 10:32:46.506156', 'put_channel : channel tb0, group 1, time 2015-03-21 10:32:46.506083')
('2015-03-21 10:32:46.508631', 'put_channel : channel tb0, group 0, time 2015-03-21 10:32:46.508591')
('2015-03-21 10:32:48.006257', 'put_channel : channel tb0, group 1, time 2015-03-21 10:32:48.006189')
('2015-03-21 10:32:48.009766', 'put_channel : channel tb0, group 0, time 2015-03-21 10:32:48.009720')
('2015-03-21 10:32:49.505737', 'put_channel : channel tb0, group 1, time 2015-03-21 10:32:49.505662')
('2015-03-21 10:32:49.509488', 'put_channel : channel tb0, group 0, time 2015-03-21 10:32:49.509437')
('2015-03-21 10:32:51.007586', 'put_channel : channel tb0, group 1, time 2015-03-21 10:32:51.007472')
('2015-03-21 10:32:51.009696', 'put_channel : channel tb0, group 0, time 2015-03-21 10:32:51.009648')
('2015-03-21 10:32:52.508167', 'put_channel : channel tb0, group 0, time 2015-03-21 10:32:52.508065')
('2015-03-21 10:32:52.508394', 'put_channel : channel tb0, group 1, time 2015-03-21 10:32:52.508322')
('2015-03-21 10:32:54.007763', 'put_channel : channel tb0, group 1, time 2015-03-21 10:32:54.007686')
('2015-03-21 10:32:54.009610', 'put_channel : channel tb0, group 0, time 2015-03-21 10:32:54.009569')
('2015-03-21 10:32:55.505857', 'put_channel : channel tb0, group 1, time 2015-03-21 10:32:55.505783')
('2015-03-21 10:32:55.507999', 'put_channel : channel tb0, group 0, time 2015-03-21 10:32:55.507952')
('2015-03-21 10:32:57.007018', 'put_channel : channel tb0, group 1, time 2015-03-21 10:32:57.006945')
('2015-03-21 10:32:57.010386', 'put_channel : channel tb0, group 0, time 2015-03-21 10:32:57.010343')
('2015-03-21 10:32:58.506290', 'put_channel : channel tb0, group 1, time 2015-03-21 10:32:58.506203')
('2015-03-21 10:32:58.507379', 'put_channel : channel tb0, group 0, time 2015-03-21 10:32:58.507338')
('2015-03-21 10:33:00.006152', 'put_channel : channel tb0, group 1, time 2015-03-21 10:33:00.006078')
('2015-03-21 10:33:00.008101', 'put_channel : channel tb0, group 0, time 2015-03-21 10:33:00.008060')
('2015-03-21 10:33:01.507590', 'put_channel : channel tb0, group 1, time 2015-03-21 10:33:01.507517')
('2015-03-21 10:33:01.508118', 'put_channel : channel tb0, group 0, time 2015-03-21 10:33:01.508077')
('2015-03-21 10:33:03.008452', 'put_channel : channel tb0, group 1, time 2015-03-21 10:33:03.008367')
('2015-03-21 10:33:03.008851', 'put_channel : channel tb0, group 0, time 2015-03-21 10:33:03.008799')
('2015-03-21 10:33:04.506322', 'put_channel : channel tb0, group 1, time 2015-03-21 10:33:04.506248')
('2015-03-21 10:33:04.508191', 'put_channel : channel tb0, group 0, time 2015-03-21 10:33:04.508150')
('2015-03-21 10:33:06.007296', 'put_channel : channel tb0, group 1, time 2015-03-21 10:33:06.007220')
('2015-03-21 10:33:06.008704', 'put_channel : channel tb0, group 0, time 2015-03-21 10:33:06.008655')
('2015-03-21 10:33:07.508153', 'put_channel : channel tb0, group 1, time 2015-03-21 10:33:07.508078')
('2015-03-21 10:33:07.508859', 'put_channel : channel tb0, group 0, time 2015-03-21 10:33:07.508819')
('2015-03-21 10:33:09.008541', 'put_channel : channel tb0, group 1, time 2015-03-21 10:33:09.008468')
('2015-03-21 10:33:09.008886', 'put_channel : channel tb0, group 0, time 2015-03-21 10:33:09.008836')
('2015-03-21 10:33:10.505996', 'put_channel : channel tb0, group 1, time 2015-03-21 10:33:10.505901')
('2015-03-21 10:33:10.508456', 'put_channel : channel tb0, group 0, time 2015-03-21 10:33:10.508409')
('2015-03-21 10:33:12.008325', 'put_channel : channel tb0, group 1, time 2015-03-21 10:33:12.008245')
('2015-03-21 10:33:12.010178', 'put_channel : channel tb0, group 0, time 2015-03-21 10:33:12.010138')
('2015-03-21 10:33:13.508258', 'put_channel : channel tb0, group 1, time 2015-03-21 10:33:13.508178')
('2015-03-21 10:33:13.510382', 'put_channel : channel tb0, group 0, time 2015-03-21 10:33:13.510339')
('2015-03-21 10:33:15.005922', 'put_channel : channel tb0, group 1, time 2015-03-21 10:33:15.005849')
('2015-03-21 10:33:15.007632', 'put_channel : channel tb0, group 0, time 2015-03-21 10:33:15.007589')
('2015-03-21 10:33:23.505875', 'put_channel : channel tb0, group 0, time 2015-03-21 10:33:23.505796')
('2015-03-21 10:33:23.520276', 'put_channel : channel tb0, group 0, time 2015-03-21 10:33:23.520218')
('2015-03-21 10:33:25.003977', 'put_channel : channel tb0, group 1, time 2015-03-21 10:33:25.003892')
('2015-03-21 10:33:25.508117', 'put_channel : channel tb0, group 1, time 2015-03-21 10:33:25.508027')
('2015-03-21 10:33:26.507411', 'put_channel : channel tb0, group 0, time 2015-03-21 10:33:26.507333')
('2015-03-21 10:33:26.517086', 'put_channel : channel tb0, group 1, time 2015-03-21 10:33:26.517041')
('2015-03-21 10:33:26.517520', 'put_channel : channel tb0, group 0, time 2015-03-21 10:33:26.517472')
('2015-03-21 10:33:27.006534', 'put_channel : channel tb0, group 1, time 2015-03-21 10:33:27.006461')
('2015-03-21 10:33:28.506478', 'put_channel : channel tb0, group 1, time 2015-03-21 10:33:28.506406')
('2015-03-21 10:33:29.507288', 'put_channel : channel tb0, group 0, time 2015-03-21 10:33:29.507199')
('2015-03-21 10:33:30.006298', 'put_channel : channel tb0, group 1, time 2015-03-21 10:33:30.006226')
('2015-03-21 10:33:31.506560', 'put_channel : channel tb0, group 1, time 2015-03-21 10:33:31.506487')
('2015-03-21 10:33:32.505671', 'put_channel : channel tb0, group 0, time 2015-03-21 10:33:32.505590')
('2015-03-21 10:33:33.008415', 'put_channel : channel tb0, group 1, time 2015-03-21 10:33:33.008343')
('2015-03-21 10:33:33.009907', 'put_channel : channel tb0, group 0, time 2015-03-21 10:33:33.009859')
('2015-03-21 10:33:34.506570', 'put_channel : channel tb0, group 1, time 2015-03-21 10:33:34.506496')
('2015-03-21 10:33:35.505564', 'put_channel : channel tb0, group 0, time 2015-03-21 10:33:35.505485')
('2015-03-21 10:33:36.007328', 'put_channel : channel tb0, group 1, time 2015-03-21 10:33:36.007255')
('2015-03-21 10:33:36.008454', 'put_channel : channel tb0, group 0, time 2015-03-21 10:33:36.008413')
('2015-03-21 10:33:37.506445', 'put_channel : channel tb0, group 1, time 2015-03-21 10:33:37.506373')
('2015-03-21 10:33:39.007849', 'put_channel : channel tb0, group 1, time 2015-03-21 10:33:39.007742')
('2015-03-21 10:33:39.029703', 'put_channel : channel tb0, group 0, time 2015-03-21 10:33:39.029639')
('2015-03-21 10:33:40.005707', 'put_channel : channel tb0, group 0, time 2015-03-21 10:33:40.005627')
('2015-03-21 10:33:40.506511', 'put_channel : channel tb0, group 1, time 2015-03-21 10:33:40.506438')
('2015-03-21 10:33:42.007126', 'put_channel : channel tb0, group 1, time 2015-03-21 10:33:42.007052')
('2015-03-21 10:33:43.506884', 'put_channel : channel tb0, group 1, time 2015-03-21 10:33:43.506812')
('2015-03-21 10:33:43.510597', 'put_channel : channel tb0, group 0, time 2015-03-21 10:33:43.510556')
('2015-03-21 10:33:43.572193', 'put_channel : channel tb0, group 0, time 2015-03-21 10:33:43.572096')
