('2015-02-07 10:01:30.622778', 'worker [2] started')
('2015-02-07 10:01:30.622916', 'client 9 initted')
('2015-02-07 10:01:31.508123', 'put_channel : channel login, group 1, time 2015-02-07 10:01:31.508031')
('2015-02-07 10:01:31.508333', 'put_channel : channel login, group 0, time 2015-02-07 10:01:31.508279')
('2015-02-07 10:01:31.512377', 'fd_channel : login[0] 1 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-02-07 10:01:31.516800', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-02-07 10:01:33.009033', 'put_channel : channel login, group 1, time 2015-02-07 10:01:33.008861')
('2015-02-07 10:01:33.009987', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-02-07 10:01:33.011389', 'put_channel : channel login, group 0, time 2015-02-07 10:01:33.011255')
('2015-02-07 10:01:33.020434', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-02-07 10:01:34.506970', 'put_channel : channel login, group 1, time 2015-02-07 10:01:34.506870')
('2015-02-07 10:01:34.507508', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-02-07 10:01:34.510866', 'put_channel : channel login, group 0, time 2015-02-07 10:01:34.510817')
('2015-02-07 10:01:34.523104', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-02-07 10:01:36.009029', 'put_channel : channel login, group 1, time 2015-02-07 10:01:36.008849')
('2015-02-07 10:01:36.010150', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-02-07 10:01:36.011704', 'put_channel : channel login, group 0, time 2015-02-07 10:01:36.011537')
('2015-02-07 10:01:36.025883', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-02-07 10:01:37.508537', 'put_channel : channel login, group 1, time 2015-02-07 10:01:37.508401')
('2015-02-07 10:01:37.509539', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-02-07 10:01:37.511093', 'put_channel : channel login, group 0, time 2015-02-07 10:01:37.511006')
('2015-02-07 10:32:31.511087', 'put_channel : channel tb0, group 0, time 2015-02-07 10:32:31.510861')
('2015-02-07 10:32:31.511496', 'put_channel : channel tb0, group 1, time 2015-02-07 10:32:31.511404')
('2015-02-07 10:32:33.008870', 'put_channel : channel tb0, group 1, time 2015-02-07 10:32:33.008748')
('2015-02-07 10:32:33.018941', 'put_channel : channel tb0, group 0, time 2015-02-07 10:32:33.018854')
('2015-02-07 10:32:34.510371', 'put_channel : channel tb0, group 1, time 2015-02-07 10:32:34.510234')
('2015-02-07 10:32:34.512239', 'put_channel : channel tb0, group 0, time 2015-02-07 10:32:34.512146')
('2015-02-07 10:32:36.008508', 'put_channel : channel tb0, group 1, time 2015-02-07 10:32:36.008372')
('2015-02-07 10:32:36.010283', 'put_channel : channel tb0, group 0, time 2015-02-07 10:32:36.010172')
('2015-02-07 10:32:37.510367', 'put_channel : channel tb0, group 0, time 2015-02-07 10:32:37.510210')
('2015-02-07 10:32:37.511249', 'put_channel : channel tb0, group 1, time 2015-02-07 10:32:37.511167')
('2015-02-07 10:32:39.008167', 'put_channel : channel tb0, group 1, time 2015-02-07 10:32:39.008013')
('2015-02-07 10:32:39.009953', 'put_channel : channel tb0, group 0, time 2015-02-07 10:32:39.009866')
('2015-02-07 10:32:40.506249', 'put_channel : channel tb0, group 1, time 2015-02-07 10:32:40.506149')
('2015-02-07 10:32:40.507961', 'put_channel : channel tb0, group 0, time 2015-02-07 10:32:40.507907')
('2015-02-07 10:32:42.008851', 'put_channel : channel tb0, group 1, time 2015-02-07 10:32:42.008737')
('2015-02-07 10:32:42.010983', 'put_channel : channel tb0, group 0, time 2015-02-07 10:32:42.010922')
('2015-02-07 10:32:43.510633', 'put_channel : channel tb0, group 1, time 2015-02-07 10:32:43.510473')
('2015-02-07 10:32:43.511571', 'put_channel : channel tb0, group 0, time 2015-02-07 10:32:43.511407')
('2015-02-07 10:32:45.010054', 'put_channel : channel tb0, group 1, time 2015-02-07 10:32:45.009917')
('2015-02-07 10:32:45.011867', 'put_channel : channel tb0, group 0, time 2015-02-07 10:32:45.011774')
('2015-02-07 10:32:46.507219', 'put_channel : channel tb0, group 1, time 2015-02-07 10:32:46.507111')
('2015-02-07 10:32:46.510094', 'put_channel : channel tb0, group 0, time 2015-02-07 10:32:46.510035')
('2015-02-07 10:32:48.008676', 'put_channel : channel tb0, group 1, time 2015-02-07 10:32:48.008546')
('2015-02-07 10:32:48.009858', 'put_channel : channel tb0, group 0, time 2015-02-07 10:32:48.009729')
('2015-02-07 10:32:49.506536', 'put_channel : channel tb0, group 1, time 2015-02-07 10:32:49.506428')
('2015-02-07 10:32:49.508428', 'put_channel : channel tb0, group 0, time 2015-02-07 10:32:49.508375')
('2015-02-07 10:32:51.008334', 'put_channel : channel tb0, group 1, time 2015-02-07 10:32:51.008198')
('2015-02-07 10:32:51.010087', 'put_channel : channel tb0, group 0, time 2015-02-07 10:32:51.010001')
('2015-02-07 10:32:52.508218', 'put_channel : channel tb0, group 1, time 2015-02-07 10:32:52.508118')
('2015-02-07 10:32:52.508745', 'put_channel : channel tb0, group 0, time 2015-02-07 10:32:52.508697')
('2015-02-07 10:32:54.008829', 'put_channel : channel tb0, group 1, time 2015-02-07 10:32:54.008688')
('2015-02-07 10:32:54.012950', 'put_channel : channel tb0, group 0, time 2015-02-07 10:32:54.012863')
('2015-02-07 10:32:55.508478', 'put_channel : channel tb0, group 1, time 2015-02-07 10:32:55.508344')
('2015-02-07 10:32:55.510438', 'put_channel : channel tb0, group 0, time 2015-02-07 10:32:55.510345')
('2015-02-07 10:32:57.009628', 'put_channel : channel tb0, group 1, time 2015-02-07 10:32:57.009490')
('2015-02-07 10:32:57.011602', 'put_channel : channel tb0, group 0, time 2015-02-07 10:32:57.011509')
('2015-02-07 10:32:58.509038', 'put_channel : channel tb0, group 0, time 2015-02-07 10:32:58.508858')
('2015-02-07 10:32:58.509827', 'put_channel : channel tb0, group 1, time 2015-02-07 10:32:58.509745')
('2015-02-07 10:33:00.008643', 'put_channel : channel tb0, group 1, time 2015-02-07 10:33:00.008506')
('2015-02-07 10:33:00.010731', 'put_channel : channel tb0, group 0, time 2015-02-07 10:33:00.010637')
('2015-02-07 10:33:01.510205', 'put_channel : channel tb0, group 1, time 2015-02-07 10:33:01.510067')
('2015-02-07 10:33:01.510563', 'put_channel : channel tb0, group 0, time 2015-02-07 10:33:01.510471')
('2015-02-07 10:33:03.007717', 'put_channel : channel tb0, group 1, time 2015-02-07 10:33:03.007607')
('2015-02-07 10:33:03.079435', 'put_channel : channel tb0, group 0, time 2015-02-07 10:33:03.079350')
('2015-02-07 10:33:04.511187', 'put_channel : channel tb0, group 1, time 2015-02-07 10:33:04.510905')
('2015-02-07 10:33:04.512110', 'put_channel : channel tb0, group 0, time 2015-02-07 10:33:04.512001')
('2015-02-07 10:33:06.011027', 'put_channel : channel tb0, group 0, time 2015-02-07 10:33:06.010889')
('2015-02-07 10:33:06.011722', 'put_channel : channel tb0, group 1, time 2015-02-07 10:33:06.011589')
('2015-02-07 10:33:07.510502', 'put_channel : channel tb0, group 1, time 2015-02-07 10:33:07.510362')
('2015-02-07 10:33:07.512229', 'put_channel : channel tb0, group 0, time 2015-02-07 10:33:07.512135')
('2015-02-07 10:33:09.008930', 'put_channel : channel tb0, group 1, time 2015-02-07 10:33:09.008788')
('2015-02-07 10:33:09.012385', 'put_channel : channel tb0, group 0, time 2015-02-07 10:33:09.012292')
('2015-02-07 10:33:10.510396', 'put_channel : channel tb0, group 0, time 2015-02-07 10:33:10.510259')
('2015-02-07 10:33:10.511022', 'put_channel : channel tb0, group 1, time 2015-02-07 10:33:10.510930')
('2015-02-07 10:33:12.009588', 'put_channel : channel tb0, group 1, time 2015-02-07 10:33:12.009365')
('2015-02-07 10:33:12.012336', 'put_channel : channel tb0, group 0, time 2015-02-07 10:33:12.012240')
('2015-02-07 10:33:13.509134', 'put_channel : channel tb0, group 1, time 2015-02-07 10:33:13.508945')
('2015-02-07 10:33:13.513325', 'put_channel : channel tb0, group 0, time 2015-02-07 10:33:13.513230')
('2015-02-07 10:33:15.007057', 'put_channel : channel tb0, group 1, time 2015-02-07 10:33:15.006944')
('2015-02-07 10:33:15.010835', 'put_channel : channel tb0, group 0, time 2015-02-07 10:33:15.010772')
('2015-02-07 10:33:25.508477', 'put_channel : channel tb0, group 0, time 2015-02-07 10:33:25.508377')
('2015-02-07 10:33:25.510157', 'put_channel : channel tb0, group 0, time 2015-02-07 10:33:25.510103')
('2015-02-07 10:33:26.517347', 'put_channel : channel tb0, group 0, time 2015-02-07 10:33:26.517200')
('2015-02-07 10:33:35.507556', 'put_channel : channel tb0, group 0, time 2015-02-07 10:33:35.507411')
('2015-02-07 10:33:35.523064', 'put_channel : channel tb0, group 0, time 2015-02-07 10:33:35.522974')
('2015-02-07 10:33:36.011447', 'put_channel : channel tb0, group 0, time 2015-02-07 10:33:36.011309')
('2015-02-07 10:33:36.013103', 'put_channel : channel tb0, group 0, time 2015-02-07 10:33:36.012928')
('2015-02-07 10:33:36.037785', 'put_channel : channel tb0, group 0, time 2015-02-07 10:33:36.037676')
('2015-02-07 10:33:37.512159', 'put_channel : channel tb0, group 0, time 2015-02-07 10:33:37.512023')
('2015-02-07 10:33:38.515503', 'put_channel : channel tb0, group 0, time 2015-02-07 10:33:38.515359')
('2015-02-07 10:33:46.511616', 'put_channel : channel tb0, group 0, time 2015-02-07 10:33:46.511478')
('2015-02-07 10:33:46.512429', 'put_channel : channel tb0, group 0, time 2015-02-07 10:33:46.512346')
('2015-02-07 10:33:46.545536', 'put_channel : channel tb0, group 1, time 2015-02-07 10:33:46.545440')
