('2015-03-21 09:55:36.734813', 'worker [5] started')
('2015-03-21 09:55:36.734878', 'client 8 initted')
('2015-03-21 09:55:37.526825', 'put_channel : channel login, group 1, time 2015-03-21 09:55:37.526741')
('2015-03-21 09:55:37.530579', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-03-21 09:55:37.531364', 'put_channel : channel login, group 0, time 2015-03-21 09:55:37.531281')
('2015-03-21 09:55:37.632953', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-03-21 09:55:39.025999', 'put_channel : channel login, group 0, time 2015-03-21 09:55:39.025920')
('2015-03-21 09:55:39.026299', 'put_channel : channel login, group 1, time 2015-03-21 09:55:39.026258')
('2015-03-21 09:55:39.026594', 'fd_channel : login[0] 1 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-03-21 09:55:39.134866', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-03-21 09:55:40.525474', 'put_channel : channel login, group 1, time 2015-03-21 09:55:40.525395')
('2015-03-21 09:55:40.525999', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-03-21 09:55:40.526707', 'put_channel : channel login, group 0, time 2015-03-21 09:55:40.526669')
('2015-03-21 09:55:40.636672', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-03-21 09:55:42.026291', 'put_channel : channel login, group 0, time 2015-03-21 09:55:42.026157')
('2015-03-21 09:55:42.026574', 'put_channel : channel login, group 1, time 2015-03-21 09:55:42.026484')
('2015-03-21 09:55:42.027093', 'fd_channel : login[0] 1 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-03-21 09:55:42.138686', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-03-21 10:32:31.526181', 'put_channel : channel tb0, group 1, time 2015-03-21 10:32:31.526066')
('2015-03-21 10:32:33.026101', 'put_channel : channel tb0, group 1, time 2015-03-21 10:32:33.026017')
('2015-03-21 10:32:34.525077', 'put_channel : channel tb0, group 1, time 2015-03-21 10:32:34.524970')
