('2015-03-21 09:55:37.866215', 'worker [9] started')
('2015-03-21 09:55:37.866302', 'client 8 initted')
('2015-03-21 09:55:39.026941', 'put_channel : channel login, group 1, time 2015-03-21 09:55:39.026856')
('2015-03-21 09:55:39.027956', 'put_channel : channel login, group 0, time 2015-03-21 09:55:39.027907')
('2015-03-21 09:55:39.031032', 'fd_channel : login[0] 1 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-03-21 09:55:39.064250', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-03-21 09:55:40.526640', 'put_channel : channel login, group 0, time 2015-03-21 09:55:40.526546')
('2015-03-21 09:55:40.527590', 'put_channel : channel login, group 1, time 2015-03-21 09:55:40.527548')
('2015-03-21 09:55:40.528254', 'fd_channel : login[0] 1 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-03-21 09:55:40.566071', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-03-21 09:55:42.026325', 'put_channel : channel login, group 1, time 2015-03-21 09:55:42.026220')
('2015-03-21 09:55:42.026630', 'put_channel : channel login, group 0, time 2015-03-21 09:55:42.026592')
('2015-03-21 09:55:42.027084', 'fd_channel : login[0] 1 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-03-21 09:55:42.067959', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-03-21 09:55:43.526260', 'put_channel : channel login, group 0, time 2015-03-21 09:55:43.526151')
('2015-03-21 09:55:43.526638', 'put_channel : channel login, group 1, time 2015-03-21 09:55:43.526595')
('2015-03-21 09:55:43.527031', 'fd_channel : login[0] 1 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-03-21 09:55:43.569676', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-03-21 10:32:34.529400', 'put_channel : channel tb0, group 1, time 2015-03-21 10:32:34.529319')
('2015-03-21 10:32:34.529920', 'put_channel : channel tb0, group 0, time 2015-03-21 10:32:34.529863')
('2015-03-21 10:32:35.524457', 'put_channel : channel tb0, group 1, time 2015-03-21 10:32:35.524367')
('2015-03-21 10:32:35.525089', 'put_channel : channel tb0, group 0, time 2015-03-21 10:32:35.525047')
('2015-03-21 10:32:36.026331', 'put_channel : channel tb0, group 1, time 2015-03-21 10:32:36.026242')
('2015-03-21 10:32:36.026788', 'put_channel : channel tb0, group 0, time 2015-03-21 10:32:36.026746')
('2015-03-21 10:32:36.028953', 'put_channel : channel tb0, group 1, time 2015-03-21 10:32:36.028911')
('2015-03-21 10:32:37.524881', 'put_channel : channel tb0, group 0, time 2015-03-21 10:32:37.524769')
('2015-03-21 10:32:37.525725', 'put_channel : channel tb0, group 1, time 2015-03-21 10:32:37.525683')
('2015-03-21 10:32:39.025907', 'put_channel : channel tb0, group 1, time 2015-03-21 10:32:39.025815')
('2015-03-21 10:32:39.026514', 'put_channel : channel tb0, group 0, time 2015-03-21 10:32:39.026472')
('2015-03-21 10:32:40.526933', 'put_channel : channel tb0, group 1, time 2015-03-21 10:32:40.526808')
('2015-03-21 10:32:40.527662', 'put_channel : channel tb0, group 0, time 2015-03-21 10:32:40.527530')
('2015-03-21 10:32:42.027001', 'put_channel : channel tb0, group 0, time 2015-03-21 10:32:42.026919')
('2015-03-21 10:32:42.027350', 'put_channel : channel tb0, group 1, time 2015-03-21 10:32:42.027310')
('2015-03-21 10:32:43.526009', 'put_channel : channel tb0, group 0, time 2015-03-21 10:32:43.525902')
('2015-03-21 10:32:43.527412', 'put_channel : channel tb0, group 1, time 2015-03-21 10:32:43.527312')
('2015-03-21 10:32:45.025958', 'put_channel : channel tb0, group 1, time 2015-03-21 10:32:45.025870')
('2015-03-21 10:32:45.026597', 'put_channel : channel tb0, group 0, time 2015-03-21 10:32:45.026518')
('2015-03-21 10:32:45.054431', 'put_channel : channel tb0, group 0, time 2015-03-21 10:32:45.054359')
('2015-03-21 10:32:46.525024', 'put_channel : channel tb0, group 1, time 2015-03-21 10:32:46.524937')
('2015-03-21 10:32:46.526347', 'put_channel : channel tb0, group 0, time 2015-03-21 10:32:46.526305')
('2015-03-21 10:32:48.025822', 'put_channel : channel tb0, group 1, time 2015-03-21 10:32:48.025737')
('2015-03-21 10:32:48.028157', 'put_channel : channel tb0, group 0, time 2015-03-21 10:32:48.028115')
('2015-03-21 10:32:49.526994', 'put_channel : channel tb0, group 1, time 2015-03-21 10:32:49.526916')
('2015-03-21 10:32:49.527582', 'put_channel : channel tb0, group 0, time 2015-03-21 10:32:49.527537')
('2015-03-21 10:32:51.026032', 'put_channel : channel tb0, group 1, time 2015-03-21 10:32:51.025917')
('2015-03-21 10:32:51.027241', 'put_channel : channel tb0, group 0, time 2015-03-21 10:32:51.027188')
('2015-03-21 10:32:52.525065', 'put_channel : channel tb0, group 0, time 2015-03-21 10:32:52.524983')
('2015-03-21 10:32:52.526282', 'put_channel : channel tb0, group 1, time 2015-03-21 10:32:52.526231')
('2015-03-21 10:32:54.026014', 'put_channel : channel tb0, group 0, time 2015-03-21 10:32:54.025940')
('2015-03-21 10:32:54.027191', 'put_channel : channel tb0, group 1, time 2015-03-21 10:32:54.027149')
('2015-03-21 10:32:55.525256', 'put_channel : channel tb0, group 1, time 2015-03-21 10:32:55.525162')
('2015-03-21 10:32:55.527142', 'put_channel : channel tb0, group 0, time 2015-03-21 10:32:55.527100')
('2015-03-21 10:32:57.026052', 'put_channel : channel tb0, group 1, time 2015-03-21 10:32:57.025961')
('2015-03-21 10:32:57.026600', 'put_channel : channel tb0, group 0, time 2015-03-21 10:32:57.026550')
('2015-03-21 10:32:58.525936', 'put_channel : channel tb0, group 0, time 2015-03-21 10:32:58.525854')
('2015-03-21 10:32:58.526667', 'put_channel : channel tb0, group 1, time 2015-03-21 10:32:58.526622')
('2015-03-21 10:33:00.026280', 'put_channel : channel tb0, group 0, time 2015-03-21 10:33:00.026187')
('2015-03-21 10:33:00.026859', 'put_channel : channel tb0, group 1, time 2015-03-21 10:33:00.026805')
('2015-03-21 10:33:01.526261', 'put_channel : channel tb0, group 1, time 2015-03-21 10:33:01.526176')
('2015-03-21 10:33:01.527939', 'put_channel : channel tb0, group 0, time 2015-03-21 10:33:01.527898')
('2015-03-21 10:33:03.024692', 'put_channel : channel tb0, group 1, time 2015-03-21 10:33:03.024607')
('2015-03-21 10:33:03.027131', 'put_channel : channel tb0, group 0, time 2015-03-21 10:33:03.027081')
('2015-03-21 10:33:04.525132', 'put_channel : channel tb0, group 1, time 2015-03-21 10:33:04.525038')
('2015-03-21 10:33:04.525658', 'put_channel : channel tb0, group 0, time 2015-03-21 10:33:04.525593')
('2015-03-21 10:33:06.026192', 'put_channel : channel tb0, group 1, time 2015-03-21 10:33:06.026106')
('2015-03-21 10:33:06.027533', 'put_channel : channel tb0, group 0, time 2015-03-21 10:33:06.027484')
('2015-03-21 10:33:07.526347', 'put_channel : channel tb0, group 1, time 2015-03-21 10:33:07.526199')
('2015-03-21 10:33:07.527167', 'put_channel : channel tb0, group 0, time 2015-03-21 10:33:07.527122')
('2015-03-21 10:33:09.024864', 'put_channel : channel tb0, group 1, time 2015-03-21 10:33:09.024740')
('2015-03-21 10:33:09.026687', 'put_channel : channel tb0, group 0, time 2015-03-21 10:33:09.026643')
('2015-03-21 10:33:10.526100', 'put_channel : channel tb0, group 1, time 2015-03-21 10:33:10.525995')
('2015-03-21 10:33:10.526546', 'put_channel : channel tb0, group 0, time 2015-03-21 10:33:10.526496')
('2015-03-21 10:33:12.024915', 'put_channel : channel tb0, group 1, time 2015-03-21 10:33:12.024834')
('2015-03-21 10:33:12.026809', 'put_channel : channel tb0, group 0, time 2015-03-21 10:33:12.026766')
('2015-03-21 10:33:13.525940', 'put_channel : channel tb0, group 1, time 2015-03-21 10:33:13.525854')
('2015-03-21 10:33:13.526278', 'put_channel : channel tb0, group 0, time 2015-03-21 10:33:13.526225')
('2015-03-21 10:33:15.024723', 'put_channel : channel tb0, group 1, time 2015-03-21 10:33:15.024619')
('2015-03-21 10:33:15.025279', 'put_channel : channel tb0, group 0, time 2015-03-21 10:33:15.025182')
('2015-03-21 10:33:27.026459', 'put_channel : channel tb0, group 1, time 2015-03-21 10:33:27.026372')
('2015-03-21 10:33:28.030882', 'put_channel : channel tb0, group 0, time 2015-03-21 10:33:28.030789')
('2015-03-21 10:33:28.045498', 'put_channel : channel tb0, group 0, time 2015-03-21 10:33:28.045447')
('2015-03-21 10:33:28.525707', 'put_channel : channel tb0, group 1, time 2015-03-21 10:33:28.525653')
('2015-03-21 10:33:28.526077', 'put_channel : channel tb0, group 0, time 2015-03-21 10:33:28.526023')
('2015-03-21 10:33:28.650627', 'put_channel : channel tb0, group 0, time 2015-03-21 10:33:28.650539')
('2015-03-21 10:33:29.541526', 'put_channel : channel tb0, group 0, time 2015-03-21 10:33:29.541441')
('2015-03-21 10:33:30.025621', 'put_channel : channel tb0, group 1, time 2015-03-21 10:33:30.025484')
('2015-03-21 10:33:30.026910', 'put_channel : channel tb0, group 0, time 2015-03-21 10:33:30.026832')
('2015-03-21 10:33:31.037081', 'put_channel : channel tb0, group 0, time 2015-03-21 10:33:31.036991')
('2015-03-21 10:33:31.525078', 'put_channel : channel tb0, group 1, time 2015-03-21 10:33:31.525004')
('2015-03-21 10:33:33.026145', 'put_channel : channel tb0, group 1, time 2015-03-21 10:33:33.026060')
('2015-03-21 10:33:34.526244', 'put_channel : channel tb0, group 0, time 2015-03-21 10:33:34.526166')
('2015-03-21 10:33:34.526852', 'put_channel : channel tb0, group 1, time 2015-03-21 10:33:34.526808')
('2015-03-21 10:33:34.529508', 'put_channel : channel tb0, group 0, time 2015-03-21 10:33:34.529416')
('2015-03-21 10:33:36.023957', 'put_channel : channel tb0, group 1, time 2015-03-21 10:33:36.023868')
('2015-03-21 10:33:37.526131', 'put_channel : channel tb0, group 1, time 2015-03-21 10:33:37.526045')
('2015-03-21 10:33:37.527272', 'put_channel : channel tb0, group 0, time 2015-03-21 10:33:37.527223')
('2015-03-21 10:33:39.025752', 'put_channel : channel tb0, group 1, time 2015-03-21 10:33:39.025657')
('2015-03-21 10:33:39.026545', 'put_channel : channel tb0, group 0, time 2015-03-21 10:33:39.026394')
('2015-03-21 10:33:39.028524', 'put_channel : channel tb0, group 0, time 2015-03-21 10:33:39.028468')
('2015-03-21 10:33:40.037721', 'put_channel : channel tb0, group 0, time 2015-03-21 10:33:40.037582')
('2015-03-21 10:33:40.526317', 'put_channel : channel tb0, group 1, time 2015-03-21 10:33:40.526224')
('2015-03-21 10:33:42.025655', 'put_channel : channel tb0, group 1, time 2015-03-21 10:33:42.025537')
