('2014-12-20 09:48:12.696645', 'worker [6] started')
('2014-12-20 09:48:12.696774', 'client 8 initted')
('2014-12-20 09:48:14.016529', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2014-12-20 09:48:14.194099', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2014-12-20 09:48:16.007863', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2014-12-20 09:48:16.297691', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2014-12-20 09:48:18.009908', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2014-12-20 09:48:18.100902', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2014-12-20 09:48:20.006998', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2014-12-20 09:48:20.204703', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2014-12-20 10:34:02.010446', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 45 tb0[1] 44 , tb1[0] 0 tb1[1] 0')
('2014-12-20 10:34:02.011364', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 45 tb0[1] 43 , tb1[0] 0 tb1[1] 0')
('2014-12-20 10:34:02.012155', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 45 tb0[1] 42 , tb1[0] 0 tb1[1] 0')
('2014-12-20 10:34:02.013099', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 45 tb0[1] 41 , tb1[0] 0 tb1[1] 0')
('2014-12-20 10:34:02.013777', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 45 tb0[1] 40 , tb1[0] 0 tb1[1] 0')
('2014-12-20 10:34:02.014736', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 45 tb0[1] 39 , tb1[0] 0 tb1[1] 0')
('2014-12-20 10:34:02.016694', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 45 tb0[1] 38 , tb1[0] 0 tb1[1] 0')
('2014-12-20 10:34:02.019128', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 46 tb0[1] 38 , tb1[0] 0 tb1[1] 0')
('2014-12-20 10:34:10.964379', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 49 tb0[1] 42 , tb1[0] 0 tb1[1] 0')
('2014-12-20 10:34:10.966160', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 49 tb0[1] 41 , tb1[0] 0 tb1[1] 0')
