('2015-02-07 10:01:43.251528', 'worker [6] started')
('2015-02-07 10:01:43.251598', 'client 9 initted')
('2015-02-07 10:01:43.525309', 'put_channel : channel login, group 0, time 2015-02-07 10:01:43.525197')
('2015-02-07 10:01:43.525827', 'put_channel : channel login, group 1, time 2015-02-07 10:01:43.525752')
('2015-02-07 10:01:43.529512', 'fd_channel : login[0] 1 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-02-07 10:01:43.548284', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-02-07 10:01:45.025697', 'put_channel : channel login, group 1, time 2015-02-07 10:01:45.025550')
('2015-02-07 10:01:45.026204', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-02-07 10:01:45.027038', 'put_channel : channel login, group 0, time 2015-02-07 10:01:45.026947')
('2015-02-07 10:01:45.050512', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-02-07 10:01:46.525356', 'put_channel : channel login, group 0, time 2015-02-07 10:01:46.525225')
('2015-02-07 10:01:46.526418', 'put_channel : channel login, group 1, time 2015-02-07 10:01:46.526321')
('2015-02-07 10:01:46.526931', 'fd_channel : login[0] 1 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-02-07 10:01:46.553049', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-02-07 10:01:48.027688', 'put_channel : channel login, group 0, time 2015-02-07 10:01:48.027563')
('2015-02-07 10:01:48.028173', 'put_channel : channel login, group 1, time 2015-02-07 10:01:48.028130')
('2015-02-07 10:01:48.028540', 'fd_channel : login[0] 1 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-02-07 10:01:48.055228', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-02-07 10:01:49.526998', 'put_channel : channel login, group 0, time 2015-02-07 10:01:49.526906')
('2015-02-07 10:01:49.529146', 'put_channel : channel login, group 1, time 2015-02-07 10:01:49.529103')
('2015-02-07 10:01:49.529549', 'fd_channel : login[0] 1 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-02-07 10:32:31.526417', 'put_channel : channel tb0, group 0, time 2015-02-07 10:32:31.526262')
('2015-02-07 10:32:31.527281', 'put_channel : channel tb0, group 1, time 2015-02-07 10:32:31.527215')
('2015-02-07 10:32:33.025152', 'put_channel : channel tb0, group 0, time 2015-02-07 10:32:33.025046')
('2015-02-07 10:32:33.025661', 'put_channel : channel tb0, group 1, time 2015-02-07 10:32:33.025620')
('2015-02-07 10:32:34.525903', 'put_channel : channel tb0, group 1, time 2015-02-07 10:32:34.525798')
('2015-02-07 10:32:34.526291', 'put_channel : channel tb0, group 0, time 2015-02-07 10:32:34.526244')
('2015-02-07 10:32:36.026419', 'put_channel : channel tb0, group 1, time 2015-02-07 10:32:36.026317')
('2015-02-07 10:32:36.027216', 'put_channel : channel tb0, group 0, time 2015-02-07 10:32:36.027175')
('2015-02-07 10:32:37.525769', 'put_channel : channel tb0, group 1, time 2015-02-07 10:32:37.525645')
('2015-02-07 10:32:37.528109', 'put_channel : channel tb0, group 0, time 2015-02-07 10:32:37.528059')
('2015-02-07 10:32:39.026717', 'put_channel : channel tb0, group 0, time 2015-02-07 10:32:39.026576')
('2015-02-07 10:32:39.027359', 'put_channel : channel tb0, group 1, time 2015-02-07 10:32:39.027307')
('2015-02-07 10:32:40.526433', 'put_channel : channel tb0, group 0, time 2015-02-07 10:32:40.526327')
('2015-02-07 10:32:40.527013', 'put_channel : channel tb0, group 1, time 2015-02-07 10:32:40.526971')
('2015-02-07 10:32:42.025591', 'put_channel : channel tb0, group 1, time 2015-02-07 10:32:42.025500')
('2015-02-07 10:32:42.028030', 'put_channel : channel tb0, group 0, time 2015-02-07 10:32:42.027986')
('2015-02-07 10:32:43.526938', 'put_channel : channel tb0, group 1, time 2015-02-07 10:32:43.526788')
('2015-02-07 10:32:43.527575', 'put_channel : channel tb0, group 0, time 2015-02-07 10:32:43.527513')
('2015-02-07 10:32:45.027114', 'put_channel : channel tb0, group 0, time 2015-02-07 10:32:45.027007')
('2015-02-07 10:32:45.027521', 'put_channel : channel tb0, group 1, time 2015-02-07 10:32:45.027468')
('2015-02-07 10:32:46.526672', 'put_channel : channel tb0, group 1, time 2015-02-07 10:32:46.526538')
