log/01_log_warning.log:('2015-02-07 11:30:06.391619', "client 52471854 bids finished. price : ['73700', None, '76700'] . Quit.....")
log/01_log_warning.log:('2015-02-07 11:30:06.446652', "client 52542411 bids finished. price : ['73700', None, '76700'] . Quit.....")
log/01_log_warning.log:('2015-02-07 11:30:06.899276', "client 52374632 bids finished. price : ['73700', None, '76700'] . Quit.....")
log/01_log_warning.log:('2015-02-07 11:30:07.731573', "client 52585909 bids finished. price : ['73700', None, '76700'] . Quit.....")
log/01_log_warning.log:('2015-02-07 11:30:08.981036', "client 52590653 bids finished. price : ['73700', None, '76700'] . Quit.....")
log/01_log_warning.log:('2015-02-07 11:30:16.670256', "client 52398497 bids finished. price : ['73700', None, None] . Quit.....")
log/01_log_warning.log:('2015-02-07 11:30:19.412394', 'client 52500740 bids finished. price : [None, None, None] . Quit.....')
log/01_log_warning.log:('2015-02-07 11:30:22.403653', 'client 52518461 bids finished. price : [None, None, None] . Quit.....')
log/01_log_warning.log:('2015-02-07 11:30:26.406950', "client 52504167 bids finished. price : ['73700', None, None] . Quit.....")
log/02_log_warning.log:('2015-02-07 11:30:07.117591', "client 52779535 bids finished. price : ['73700', None, '76700'] . Quit.....")
log/02_log_warning.log:('2015-02-07 11:30:07.814932', "client 52540954 bids finished. price : [None, None, '76700'] . Quit.....")
log/02_log_warning.log:('2015-02-07 11:30:07.961154', "client 52562290 bids finished. price : ['73700', None, '76700'] . Quit.....")
log/02_log_warning.log:('2015-02-07 11:30:08.079486', "client 52531902 bids finished. price : ['73700', None, '76700'] . Quit.....")
log/02_log_warning.log:('2015-02-07 11:30:08.715231', "client 52528674 bids finished. price : ['73700', None, '76700'] . Quit.....")
log/02_log_warning.log:('2015-02-07 11:30:09.300357', "client 52485181 bids finished. price : [None, None, '76700'] . Quit.....")
log/02_log_warning.log:('2015-02-07 11:30:20.379641', "client 52507677 bids finished. price : ['73700', None, None] . Quit.....")
log/02_log_warning.log:('2015-02-07 11:30:21.566584', "client 52723477 bids finished. price : ['73700', None, None] . Quit.....")
log/02_log_warning.log:('2015-02-07 11:30:27.138446', "client 52475316 bids finished. price : ['73700', None, None] . Quit.....")
log/03_log_warning.log:('2015-02-07 11:30:06.778257', "client 52509524 bids finished. price : ['73700', None, '76700'] . Quit.....")
log/03_log_warning.log:('2015-02-07 11:30:07.207140', "client 52509748 bids finished. price : ['73700', None, '76700'] . Quit.....")
log/03_log_warning.log:('2015-02-07 11:30:07.448170', "client 52467954 bids finished. price : ['73700', None, '76700'] . Quit.....")
log/03_log_warning.log:('2015-02-07 11:30:08.109232', "client 52361716 bids finished. price : ['73700', None, '76700'] . Quit.....")
log/03_log_warning.log:('2015-02-07 11:30:08.923450', "client 52556242 bids finished. price : ['73700', None, '76700'] . Quit.....")
log/03_log_warning.log:('2015-02-07 11:30:21.969898', "client 52483703 bids finished. price : ['73700', None, None] . Quit.....")
log/03_log_warning.log:('2015-02-07 11:30:22.070962', 'client 52540397 bids finished. price : [None, None, None] . Quit.....')
log/03_log_warning.log:('2015-02-07 11:30:22.109576', "client 52464974 bids finished. price : ['73700', None, None] . Quit.....")
log/04_log_warning.log:('2015-02-07 11:30:06.594103', "client 52452825 bids finished. price : ['73700', None, '76700'] . Quit.....")
log/04_log_warning.log:('2015-02-07 11:30:08.021578', "client 52475074 bids finished. price : ['73700', None, '76700'] . Quit.....")
log/04_log_warning.log:('2015-02-07 11:30:08.946093', "client 52588386 bids finished. price : ['73700', None, '76700'] . Quit.....")
log/04_log_warning.log:('2015-02-07 11:30:09.051089', "client 52797650 bids finished. price : [None, None, '76700'] . Quit.....")
log/04_log_warning.log:('2015-02-07 11:30:09.064134', "client 52781042 bids finished. price : ['73700', None, '76700'] . Quit.....")
log/04_log_warning.log:('2015-02-07 11:30:20.409943', "client 52548969 bids finished. price : ['73700', None, None] . Quit.....")
log/04_log_warning.log:('2015-02-07 11:30:20.603538', "client 52780438 bids finished. price : ['73700', None, None] . Quit.....")
log/04_log_warning.log:('2015-02-07 11:30:22.541843', "client 52531566 bids finished. price : ['73700', None, None] . Quit.....")
log/04_log_warning.log:('2015-02-07 11:30:27.204145', "client 52737969 bids finished. price : ['73700', None, None] . Quit.....")
log/05_log_warning.log:('2015-02-07 11:30:06.435300', "client 52799363 bids finished. price : ['73700', None, '76700'] . Quit.....")
log/05_log_warning.log:('2015-02-07 11:30:06.586963', "client 52726265 bids finished. price : ['73700', None, '76700'] . Quit.....")
log/05_log_warning.log:('2015-02-07 11:30:06.798656', "client 52474780 bids finished. price : ['73700', None, '76700'] . Quit.....")
log/05_log_warning.log:('2015-02-07 11:30:08.675694', "client 52542536 bids finished. price : ['73700', None, '76700'] . Quit.....")
log/05_log_warning.log:('2015-02-07 11:30:09.184730', "client 52253629 bids finished. price : [None, None, '76700'] . Quit.....")
log/05_log_warning.log:('2015-02-07 11:30:09.396376', "client 52546983 bids finished. price : ['73700', None, '76700'] . Quit.....")
log/05_log_warning.log:('2015-02-07 11:30:20.999725', 'client 52490363 bids finished. price : [None, None, None] . Quit.....')
log/05_log_warning.log:('2015-02-07 11:30:21.793245', "client 52749612 bids finished. price : ['73700', None, None] . Quit.....")
log/05_log_warning.log:('2015-02-07 11:30:23.178046', "client 52577827 bids finished. price : ['73700', None, None] . Quit.....")
log/06_log_warning.log:('2015-02-07 11:30:06.202130', "client 52544528 bids finished. price : ['73700', None, '76700'] . Quit.....")
log/06_log_warning.log:('2015-02-07 11:30:06.370381', "client 52473901 bids finished. price : ['73700', None, '76700'] . Quit.....")
log/06_log_warning.log:('2015-02-07 11:30:06.427055', "client 52456021 bids finished. price : [None, None, '76700'] . Quit.....")
log/06_log_warning.log:('2015-02-07 11:30:15.911817', "client 52597357 bids finished. price : ['73700', None, None] . Quit.....")
log/06_log_warning.log:('2015-02-07 11:30:19.893568', "client 52368704 bids finished. price : ['73700', None, None] . Quit.....")
log/06_log_warning.log:('2015-02-07 11:30:20.103106', "client 52536852 bids finished. price : ['73700', None, None] . Quit.....")
log/06_log_warning.log:('2015-02-07 11:30:22.905217', "client 52586778 bids finished. price : ['73700', None, None] . Quit.....")
log/06_log_warning.log:('2015-02-07 11:30:26.899551', "client 52504282 bids finished. price : ['73700', None, None] . Quit.....")
log/06_log_warning.log:('2015-02-07 11:30:26.905988', "client 52489161 bids finished. price : ['73700', None, None] . Quit.....")
log/07_log_warning.log:('2015-02-07 11:30:06.623228', "client 52557234 bids finished. price : ['73700', None, '76700'] . Quit.....")
log/07_log_warning.log:('2015-02-07 11:30:06.695803', "client 52449582 bids finished. price : ['73700', None, '76700'] . Quit.....")
log/07_log_warning.log:('2015-02-07 11:30:06.778578', "client 52497799 bids finished. price : ['73700', None, '76700'] . Quit.....")
log/07_log_warning.log:('2015-02-07 11:30:07.456610', "client 52717603 bids finished. price : ['73700', None, '76700'] . Quit.....")
log/07_log_warning.log:('2015-02-07 11:30:07.501628', "client 52430916 bids finished. price : ['73700', None, '76700'] . Quit.....")
log/07_log_warning.log:('2015-02-07 11:30:08.675039', "client 52410654 bids finished. price : ['73700', None, '76700'] . Quit.....")
log/07_log_warning.log:('2015-02-07 11:30:19.723413', "client 52774746 bids finished. price : ['73700', None, None] . Quit.....")
log/07_log_warning.log:('2015-02-07 11:30:19.927911', "client 52488029 bids finished. price : ['73700', None, None] . Quit.....")
log/07_log_warning.log:('2015-02-07 11:30:26.715733', "client 52553719 bids finished. price : ['73700', None, None] . Quit.....")
log/08_log_warning.log:('2015-02-07 11:30:06.809405', "client 52550541 bids finished. price : ['73700', None, '76700'] . Quit.....")
log/08_log_warning.log:('2015-02-07 11:30:07.319029', "client 52499852 bids finished. price : ['73700', None, '76700'] . Quit.....")
log/08_log_warning.log:('2015-02-07 11:30:07.465684', "client 52455030 bids finished. price : ['73700', None, '76700'] . Quit.....")
log/08_log_warning.log:('2015-02-07 11:30:20.612649', "client 52582636 bids finished. price : ['73700', None, None] . Quit.....")
log/08_log_warning.log:('2015-02-07 11:30:21.249296', "client 52563457 bids finished. price : ['73700', None, None] . Quit.....")
log/08_log_warning.log:('2015-02-07 11:30:22.007442', "client 52715533 bids finished. price : ['73700', None, None] . Quit.....")
log/08_log_warning.log:('2015-02-07 11:30:22.231590', "client 52477639 bids finished. price : ['73700', None, None] . Quit.....")
log/08_log_warning.log:('2015-02-07 11:30:22.797433', "client 52727161 bids finished. price : ['73700', None, None] . Quit.....")
log/08_log_warning.log:('2015-02-07 11:30:22.797731', 'client 52484185 bids finished. price : [None, None, None] . Quit.....')
log/09_log_warning.log:('2015-02-07 11:30:06.293530', "client 52578503 bids finished. price : ['73700', None, '76700'] . Quit.....")
log/09_log_warning.log:('2015-02-07 11:30:06.760814', "client 52715887 bids finished. price : ['73700', None, '76700'] . Quit.....")
log/09_log_warning.log:('2015-02-07 11:30:06.893317', "client 52451512 bids finished. price : ['73700', None, '76700'] . Quit.....")
log/09_log_warning.log:('2015-02-07 11:30:07.442820', "client 52719274 bids finished. price : ['73700', None, '76700'] . Quit.....")
log/09_log_warning.log:('2015-02-07 11:30:07.779803', "client 52785590 bids finished. price : [None, None, '76700'] . Quit.....")
log/09_log_warning.log:('2015-02-07 11:30:08.730191', "client 52547493 bids finished. price : ['73700', None, '76700'] . Quit.....")
log/09_log_warning.log:('2015-02-07 11:30:20.419800', "client 52455027 bids finished. price : ['73700', None, None] . Quit.....")
log/09_log_warning.log:('2015-02-07 11:30:21.569484', "client 52524872 bids finished. price : ['73700', None, None] . Quit.....")
log/09_log_warning.log:('2015-02-07 11:30:22.808219', "client 52443054 bids finished. price : ['73700', None, None] . Quit.....")
