('2015-01-17 09:36:43.597526', 'worker [3] started')
('2015-01-17 09:36:43.597583', 'client 9 initted')
('2015-01-17 09:36:45.008238', 'put_channel : channel login, group 1, time 2015-01-17 09:36:45.008175')
('2015-01-17 09:36:45.011186', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-01-17 09:36:45.020409', 'put_channel : channel login, group 0, time 2015-01-17 09:36:45.020370')
('2015-01-17 09:36:45.096376', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-01-17 09:36:46.506715', 'put_channel : channel login, group 1, time 2015-01-17 09:36:46.506651')
('2015-01-17 09:36:46.507077', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-01-17 09:36:46.511096', 'put_channel : channel login, group 0, time 2015-01-17 09:36:46.511059')
('2015-01-17 09:36:46.598571', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-01-17 09:36:48.007298', 'put_channel : channel login, group 1, time 2015-01-17 09:36:48.007209')
('2015-01-17 09:36:48.007638', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-01-17 09:36:48.014352', 'put_channel : channel login, group 0, time 2015-01-17 09:36:48.014312')
('2015-01-17 09:36:48.100350', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-01-17 09:36:49.506618', 'put_channel : channel login, group 1, time 2015-01-17 09:36:49.506557')
('2015-01-17 09:36:49.506985', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-01-17 09:36:49.508590', 'put_channel : channel login, group 0, time 2015-01-17 09:36:49.508557')
('2015-01-17 09:36:49.601976', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-01-17 09:36:51.007240', 'put_channel : channel login, group 1, time 2015-01-17 09:36:51.007179')
('2015-01-17 09:36:51.007610', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-01-17 09:36:51.022235', 'put_channel : channel login, group 0, time 2015-01-17 09:36:51.022199')
