('2015-01-17 09:36:48.721443', 'worker [9] started')
('2015-01-17 09:36:48.721503', 'client 9 initted')
('2015-01-17 09:36:49.526444', 'put_channel : channel login, group 0, time 2015-01-17 09:36:49.526345')
('2015-01-17 09:36:49.527171', 'put_channel : channel login, group 1, time 2015-01-17 09:36:49.527133')
('2015-01-17 09:36:49.530636', 'fd_channel : login[0] 1 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-01-17 09:36:49.619159', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-01-17 09:36:51.025536', 'put_channel : channel login, group 1, time 2015-01-17 09:36:51.025439')
('2015-01-17 09:36:51.026197', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-01-17 09:36:51.027824', 'put_channel : channel login, group 0, time 2015-01-17 09:36:51.027783')
('2015-01-17 09:36:51.121415', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-01-17 09:36:52.525617', 'put_channel : channel login, group 0, time 2015-01-17 09:36:52.525506')
('2015-01-17 09:36:52.527317', 'put_channel : channel login, group 1, time 2015-01-17 09:36:52.527238')
('2015-01-17 09:36:52.527715', 'fd_channel : login[0] 1 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-01-17 09:36:52.623527', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-01-17 09:36:54.027353', 'put_channel : channel login, group 0, time 2015-01-17 09:36:54.027246')
('2015-01-17 09:36:54.027959', 'put_channel : channel login, group 1, time 2015-01-17 09:36:54.027865')
('2015-01-17 09:36:54.028429', 'fd_channel : login[0] 1 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-01-17 09:36:54.125741', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-01-17 09:36:55.527556', 'put_channel : channel login, group 1, time 2015-01-17 09:36:55.527446')
('2015-01-17 09:36:55.528442', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-01-17 09:36:55.529522', 'put_channel : channel login, group 0, time 2015-01-17 09:36:55.529481')
('2015-01-17 10:32:31.526440', 'put_channel : channel tb0, group 1, time 2015-01-17 10:32:31.526318')
('2015-01-17 10:32:31.526875', 'put_channel : channel tb0, group 0, time 2015-01-17 10:32:31.526840')
('2015-01-17 10:32:33.027867', 'put_channel : channel tb0, group 1, time 2015-01-17 10:32:33.027754')
('2015-01-17 10:32:34.525870', 'put_channel : channel tb0, group 1, time 2015-01-17 10:32:34.525753')
('2015-01-17 10:32:34.526311', 'put_channel : channel tb0, group 0, time 2015-01-17 10:32:34.526266')
('2015-01-17 10:32:36.026707', 'put_channel : channel tb0, group 1, time 2015-01-17 10:32:36.026566')
('2015-01-17 10:32:36.258534', 'put_channel : channel tb0, group 0, time 2015-01-17 10:32:36.258408')
