log/01_log_warning.log:('2014-12-20 11:30:08.604175', "client 52475301 bids finished. price : ['72600', '73500', '73800'] . Quit.....")
log/01_log_warning.log:('2014-12-20 11:30:09.204667', "client 52506064 bids finished. price : ['72600', '73500', '73800'] . Quit.....")
log/01_log_warning.log:('2014-12-20 11:30:09.215497', "client 52467396 bids finished. price : ['72600', '73500', '73800'] . Quit.....")
log/01_log_warning.log:('2014-12-20 11:30:09.382426', "client 52389000 bids finished. price : ['72600', '73500', '73800'] . Quit.....")
log/01_log_warning.log:('2014-12-20 11:30:15.038457', "client 52458106 bids finished. price : ['72600', '73500', None] . Quit.....")
log/01_log_warning.log:('2014-12-20 11:30:15.046368', "client 52497342 bids finished. price : ['72600', '73500', None] . Quit.....")
log/01_log_warning.log:('2014-12-20 11:30:20.459316', "client 52251628 bids finished. price : ['72600', '73500', None] . Quit.....")
log/01_log_warning.log:('2014-12-20 11:30:21.855250', "client 52512986 bids finished. price : ['72600', '73500', None] . Quit.....")
log/02_log_warning.log:('2014-12-20 11:30:04.546675', "client 52529553 bids finished. price : ['72600', '73500', '73700'] . Quit.....")
log/02_log_warning.log:('2014-12-20 11:30:05.617662', "client 52498776 bids finished. price : ['72600', '73500', '73700'] . Quit.....")
log/02_log_warning.log:('2014-12-20 11:30:05.661886', "client 52450712 bids finished. price : ['72600', '73500', '73700'] . Quit.....")
log/02_log_warning.log:('2014-12-20 11:30:05.748946', "client 52502960 bids finished. price : ['72600', '73500', '73700'] . Quit.....")
log/02_log_warning.log:('2014-12-20 11:30:06.859471', "client 52411643 bids finished. price : ['72600', '73500', '73700'] . Quit.....")
log/02_log_warning.log:('2014-12-20 11:30:06.876972', "client 52454172 bids finished. price : ['72600', '73500', '73700'] . Quit.....")
log/02_log_warning.log:('2014-12-20 11:30:18.063647', "client 52411707 bids finished. price : ['72600', '73500', None] . Quit.....")
log/02_log_warning.log:('2014-12-20 11:30:18.071215', "client 52401967 bids finished. price : ['72600', '73500', None] . Quit.....")
log/03_log_warning.log:('2014-12-20 11:30:10.959668', "client 52483822 bids finished. price : ['72600', '73600', None] . Quit.....")
log/03_log_warning.log:('2014-12-20 11:30:12.549708', "client 52475943 bids finished. price : ['72600', None, None] . Quit.....")
log/03_log_warning.log:('2014-12-20 11:30:12.550108', "client 52391372 bids finished. price : ['72600', None, None] . Quit.....")
log/03_log_warning.log:('2014-12-20 11:30:14.930490', "client 52545314 bids finished. price : ['72600', '73600', None] . Quit.....")
log/03_log_warning.log:('2014-12-20 11:30:18.352875', "client 52407833 bids finished. price : ['72600', '73600', None] . Quit.....")
log/03_log_warning.log:('2014-12-20 11:30:18.688709', "client 52425478 bids finished. price : ['72600', '73600', None] . Quit.....")
log/03_log_warning.log:('2014-12-20 11:30:21.532725', "client 52496662 bids finished. price : ['72600', '73600', None] . Quit.....")
log/03_log_warning.log:('2014-12-20 11:30:21.543464', "client 52456995 bids finished. price : ['72600', '73600', None] . Quit.....")
log/04_log_warning.log:('2014-12-20 11:30:08.060845', "client 52373545 bids finished. price : [None, '73500', '73800'] . Quit.....")
log/04_log_warning.log:('2014-12-20 11:30:08.122135', "client 52385566 bids finished. price : ['72600', '73500', '73800'] . Quit.....")
log/04_log_warning.log:('2014-12-20 11:30:08.493220', "client 52451831 bids finished. price : ['72600', '73500', '73800'] . Quit.....")
log/04_log_warning.log:('2014-12-20 11:30:09.223798', "client 52514164 bids finished. price : ['72600', '73500', '73800'] . Quit.....")
log/04_log_warning.log:('2014-12-20 11:30:09.330265', "client 52441055 bids finished. price : ['72600', '73500', '73800'] . Quit.....")
log/04_log_warning.log:('2014-12-20 11:30:15.047203', "client 52593739 bids finished. price : ['72600', '73500', None] . Quit.....")
log/04_log_warning.log:('2014-12-20 11:30:15.047859', "client 52545368 bids finished. price : ['72600', '73500', None] . Quit.....")
log/04_log_warning.log:('2014-12-20 11:30:21.733649', "client 52405841 bids finished. price : ['72600', '73500', None] . Quit.....")
log/05_log_warning.log:('2014-12-20 11:30:04.294209', "client 52466853 bids finished. price : ['72600', '73500', '73700'] . Quit.....")
log/05_log_warning.log:('2014-12-20 11:30:04.310974', "client 52508673 bids finished. price : ['72600', '73500', '73700'] . Quit.....")
log/05_log_warning.log:('2014-12-20 11:30:04.639008', "client 52371860 bids finished. price : ['72600', '73500', '73700'] . Quit.....")
log/05_log_warning.log:('2014-12-20 11:30:04.700513', "client 52537055 bids finished. price : ['72600', '73500', '73700'] . Quit.....")
log/05_log_warning.log:('2014-12-20 11:30:08.982422', "client 52534387 bids finished. price : [None, '73500', '73700'] . Quit.....")
log/05_log_warning.log:('2014-12-20 11:30:17.934571', "client 52278694 bids finished. price : ['72600', '73500', None] . Quit.....")
