log/01_log_warning.log:('2015-04-18 11:30:08.266615', "client 52559481 bids finished. price : ['75200', None, '80900'] . Quit.....")
log/01_log_warning.log:('2015-04-18 11:30:08.271498', "client 52592221 bids finished. price : ['75200', '80600', '80900'] . Quit.....")
log/01_log_warning.log:('2015-04-18 11:30:08.307024', "client 52589714 bids finished. price : ['75200', '80600', '80900'] . Quit.....")
log/01_log_warning.log:('2015-04-18 11:30:08.966396', "client 52717181 bids finished. price : ['75200', '80600', '80900'] . Quit.....")
log/01_log_warning.log:('2015-04-18 11:30:09.797234', "client 52488047 bids finished. price : ['75200', None, '80900'] . Quit.....")
log/01_log_warning.log:('2015-04-18 11:30:10.273482', "client 52791548 bids finished. price : ['75200', '80600', '80900'] . Quit.....")
log/01_log_warning.log:('2015-04-18 11:30:15.047254', "client 52857140 bids finished. price : ['75200', None, None] . Quit.....")
log/01_log_warning.log:('2015-04-18 11:30:15.047608', "client 52883719 bids finished. price : ['75200', '80600', None] . Quit.....")
log/02_log_warning.log:('2015-04-18 11:30:16.798662', "client 52770583 bids finished. price : ['75200', '80700', None] . Quit.....")
log/02_log_warning.log:('2015-04-18 11:30:18.203299', "client 52809414 bids finished. price : ['75200', '80700', None] . Quit.....")
log/02_log_warning.log:('2015-04-18 11:30:18.459130', "client 52740848 bids finished. price : ['75200', None, None] . Quit.....")
log/02_log_warning.log:('2015-04-18 11:30:18.997511', "client 52714302 bids finished. price : ['75200', '80700', None] . Quit.....")
log/02_log_warning.log:('2015-04-18 11:30:19.391277', "client 52824039 bids finished. price : ['75200', '80700', None] . Quit.....")
log/02_log_warning.log:('2015-04-18 11:30:20.097574', "client 52821441 bids finished. price : ['75200', '80700', None] . Quit.....")
log/02_log_warning.log:('2015-04-18 11:30:20.976982', "client 52739257 bids finished. price : ['75200', '80700', None] . Quit.....")
log/02_log_warning.log:('2015-04-18 11:30:21.638121', "client 52775928 bids finished. price : ['75200', '80700', None] . Quit.....")
log/03_log_warning.log:('2015-04-18 11:30:20.479099', "client 52706862 bids finished. price : ['75200', '80800', None] . Quit.....")
log/03_log_warning.log:('2015-04-18 11:30:21.617825', "client 52741812 bids finished. price : ['75200', '80800', None] . Quit.....")
log/03_log_warning.log:('2015-04-18 11:30:22.062480', "client 52756077 bids finished. price : ['75200', '80800', None] . Quit.....")
log/03_log_warning.log:('2015-04-18 11:30:23.368724', "client 52815996 bids finished. price : ['75200', None, None] . Quit.....")
log/03_log_warning.log:('2015-04-18 11:30:23.495816', "client 52775962 bids finished. price : ['75200', None, None] . Quit.....")
log/03_log_warning.log:('2015-04-18 11:30:24.483575', "client 52460821 bids finished. price : ['75200', '80800', None] . Quit.....")
log/03_log_warning.log:('2015-04-18 11:30:25.078199', "client 52720956 bids finished. price : ['75200', '80800', None] . Quit.....")
log/03_log_warning.log:('2015-04-18 11:30:31.366368', 'client 52783690 bids finished. price : [None, None, None] . Quit.....')
log/04_log_warning.log:('2015-04-18 11:30:01.765176', "client 52780518 bids finished. price : ['75200', '80400', '80700'] . Quit.....")
log/04_log_warning.log:('2015-04-18 11:30:15.103397', "client 52730391 bids finished. price : ['75200', '80400', None] . Quit.....")
log/04_log_warning.log:('2015-04-18 11:30:15.162363', "client 52578026 bids finished. price : ['75200', '80400', None] . Quit.....")
log/04_log_warning.log:('2015-04-18 11:30:21.285750', "client 52717602 bids finished. price : ['75200', '80400', None] . Quit.....")
log/04_log_warning.log:('2015-04-18 11:30:21.500675', "client 52520542 bids finished. price : ['75200', '80400', None] . Quit.....")
log/04_log_warning.log:('2015-04-18 11:30:21.937462', "client 52512843 bids finished. price : [None, '80400', None] . Quit.....")
log/04_log_warning.log:('2015-04-18 11:30:21.942213', "client 52518201 bids finished. price : [None, '80400', None] . Quit.....")
log/04_log_warning.log:('2015-04-18 11:30:22.140564', "client 52504578 bids finished. price : ['75200', '80400', None] . Quit.....")
log/05_log_warning.log:('2015-04-18 11:30:06.496022', "client 52783335 bids finished. price : ['75200', '80600', '80700'] . Quit.....")
log/05_log_warning.log:('2015-04-18 11:30:08.404908', "client 52577827 bids finished. price : ['75200', '80600', '80900'] . Quit.....")
log/05_log_warning.log:('2015-04-18 11:30:09.633592', "client 52278722 bids finished. price : ['75200', '80600', '80900'] . Quit.....")
