('2015-03-21 09:55:40.005346', 'worker [8] started')
('2015-03-21 09:55:40.005421', 'client 8 initted')
('2015-03-21 09:55:40.526632', 'put_channel : channel login, group 1, time 2015-03-21 09:55:40.526525')
('2015-03-21 09:55:40.530576', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-03-21 09:55:40.531182', 'put_channel : channel login, group 0, time 2015-03-21 09:55:40.531131')
('2015-03-21 09:55:40.603329', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-03-21 09:55:42.026639', 'put_channel : channel login, group 1, time 2015-03-21 09:55:42.026529')
('2015-03-21 09:55:42.027159', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-03-21 09:55:42.027962', 'put_channel : channel login, group 0, time 2015-03-21 09:55:42.027926')
('2015-03-21 09:55:42.104900', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-03-21 09:55:43.524954', 'put_channel : channel login, group 1, time 2015-03-21 09:55:43.524831')
('2015-03-21 09:55:43.525507', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-03-21 09:55:43.526546', 'put_channel : channel login, group 0, time 2015-03-21 09:55:43.526451')
('2015-03-21 09:55:43.606644', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-03-21 09:55:45.025012', 'put_channel : channel login, group 1, time 2015-03-21 09:55:45.024938')
('2015-03-21 09:55:45.025463', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-03-21 09:55:45.026130', 'put_channel : channel login, group 0, time 2015-03-21 09:55:45.026079')
('2015-03-21 09:55:45.108171', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-03-21 10:32:31.524001', 'put_channel : channel tb0, group 1, time 2015-03-21 10:32:31.523902')
('2015-03-21 10:32:33.024560', 'put_channel : channel tb0, group 1, time 2015-03-21 10:32:33.024484')
('2015-03-21 10:32:34.524928', 'put_channel : channel tb0, group 1, time 2015-03-21 10:32:34.524845')
('2015-03-21 10:32:34.527442', 'put_channel : channel tb0, group 0, time 2015-03-21 10:32:34.527405')
('2015-03-21 10:32:35.523025', 'put_channel : channel tb0, group 0, time 2015-03-21 10:32:35.522941')
