log/01_log_warning.log:('2015-03-21 11:30:21.218767', "client 52312655 bids finished. price : ['73700', None, None] . Quit.....")
log/01_log_warning.log:('2015-03-21 11:30:21.413858', 'client 52385131 bids finished. price : [None, None, None] . Quit.....')
log/01_log_warning.log:('2015-03-21 11:30:21.467900', "client 52548705 bids finished. price : ['73700', None, None] . Quit.....")
log/01_log_warning.log:('2015-03-21 11:30:21.516588', "client 52489320 bids finished. price : ['73700', None, None] . Quit.....")
log/01_log_warning.log:('2015-03-21 11:30:22.617008', 'client 52492414 bids finished. price : [None, None, None] . Quit.....')
log/01_log_warning.log:('2015-03-21 11:30:22.630039', 'client 52496916 bids finished. price : [None, None, None] . Quit.....')
log/01_log_warning.log:('2015-03-21 11:30:24.071338', "client 52507170 bids finished. price : ['73700', None, None] . Quit.....")
log/01_log_warning.log:('2015-03-21 11:30:28.062620', "client 52521595 bids finished. price : ['73700', None, None] . Quit.....")
log/02_log_warning.log:('2015-03-21 11:30:20.965037', "client 52490363 bids finished. price : ['73700', None, None] . Quit.....")
log/02_log_warning.log:('2015-03-21 11:30:21.004575', "client 52475943 bids finished. price : ['73700', None, None] . Quit.....")
log/02_log_warning.log:('2015-03-21 11:30:21.086841', "client 52793476 bids finished. price : ['73700', None, None] . Quit.....")
log/02_log_warning.log:('2015-03-21 11:30:21.265336', "client 52455494 bids finished. price : ['73700', None, None] . Quit.....")
log/02_log_warning.log:('2015-03-21 11:30:23.830473', "client 52563288 bids finished. price : ['73700', None, None] . Quit.....")
log/02_log_warning.log:('2015-03-21 11:30:23.830777', "client 52450088 bids finished. price : ['73700', None, None] . Quit.....")
log/02_log_warning.log:('2015-03-21 11:30:27.834427', "client 52770583 bids finished. price : ['73700', None, None] . Quit.....")
log/02_log_warning.log:('2015-03-21 11:30:27.844570', "client 52739257 bids finished. price : ['73700', None, None] . Quit.....")
log/03_log_warning.log:('2015-03-21 11:30:21.222821', 'client 52705078 bids finished. price : [None, None, None] . Quit.....')
log/03_log_warning.log:('2015-03-21 11:30:21.356103', "client 52709421 bids finished. price : ['73700', None, None] . Quit.....")
log/03_log_warning.log:('2015-03-21 11:30:21.363186', 'client 52599678 bids finished. price : [None, None, None] . Quit.....')
log/03_log_warning.log:('2015-03-21 11:30:21.363329', "client 52461223 bids finished. price : ['73700', None, None] . Quit.....")
log/03_log_warning.log:('2015-03-21 11:30:21.796150', "client 52787353 bids finished. price : ['73700', None, None] . Quit.....")
log/03_log_warning.log:('2015-03-21 11:30:24.001440', 'client 52543244 bids finished. price : [None, None, None] . Quit.....')
log/03_log_warning.log:('2015-03-21 11:30:24.065619', "client 52776161 bids finished. price : ['73700', None, None] . Quit.....")
log/03_log_warning.log:('2015-03-21 11:30:27.329514', "client 52746568 bids finished. price : ['73700', None, None] . Quit.....")
log/04_log_warning.log:('2015-03-21 11:30:20.703299', "client 52715533 bids finished. price : ['73700', None, None] . Quit.....")
log/04_log_warning.log:('2015-03-21 11:30:20.833432', 'client 52593473 bids finished. price : [None, None, None] . Quit.....')
