log/01_log_warning.log:('2015-03-21 11:30:08.041287', "client 52771113 bids finished. price : ['73700', None, '74900'] . Quit.....")
log/01_log_warning.log:('2015-03-21 11:30:21.145836', 'client 52593662 bids finished. price : [None, None, None] . Quit.....')
log/01_log_warning.log:('2015-03-21 11:30:21.207269', "client 52529454 bids finished. price : ['73700', None, None] . Quit.....")
log/01_log_warning.log:('2015-03-21 11:30:21.466552', 'client 52460821 bids finished. price : [None, None, None] . Quit.....')
log/01_log_warning.log:('2015-03-21 11:30:21.616814', 'client 52518201 bids finished. price : [None, None, None] . Quit.....')
log/01_log_warning.log:('2015-03-21 11:30:21.796354', "client 52765686 bids finished. price : ['73700', None, None] . Quit.....")
log/01_log_warning.log:('2015-03-21 11:30:21.817090', "client 52484302 bids finished. price : ['73700', None, None] . Quit.....")
log/01_log_warning.log:('2015-03-21 11:30:22.463353', "client 52537124 bids finished. price : ['73700', None, None] . Quit.....")
log/02_log_warning.log:('2015-03-21 11:30:07.691952', "client 52759346 bids finished. price : ['73700', None, '74900'] . Quit.....")
log/02_log_warning.log:('2015-03-21 11:30:18.124733', "client 52461453 bids finished. price : ['73700', None, None] . Quit.....")
log/02_log_warning.log:('2015-03-21 11:30:21.367116', 'client 52510040 bids finished. price : [None, None, None] . Quit.....')
log/02_log_warning.log:('2015-03-21 11:30:21.406237', "client 52760315 bids finished. price : ['73700', None, None] . Quit.....")
log/02_log_warning.log:('2015-03-21 11:30:22.116060', "client 52473363 bids finished. price : ['73700', None, None] . Quit.....")
log/02_log_warning.log:('2015-03-21 11:30:22.120002', "client 52718085 bids finished. price : ['73700', None, None] . Quit.....")
log/02_log_warning.log:('2015-03-21 11:30:22.271051', "client 52520663 bids finished. price : ['73700', None, None] . Quit.....")
log/02_log_warning.log:('2015-03-21 11:30:23.788735', "client 52343478 bids finished. price : ['73700', None, None] . Quit.....")
log/03_log_warning.log:('2015-03-21 11:30:17.229839', "client 52790088 bids finished. price : ['73700', None, None] . Quit.....")
log/03_log_warning.log:('2015-03-21 11:30:21.020277', 'client 52748588 bids finished. price : [None, None, None] . Quit.....')
log/03_log_warning.log:('2015-03-21 11:30:21.198263', "client 52469069 bids finished. price : ['73700', None, None] . Quit.....")
log/03_log_warning.log:('2015-03-21 11:30:21.200358', "client 52730469 bids finished. price : ['73700', None, None] . Quit.....")
log/03_log_warning.log:('2015-03-21 11:30:21.246322', 'client 52710757 bids finished. price : [None, None, None] . Quit.....')
log/03_log_warning.log:('2015-03-21 11:30:21.277872', "client 52767414 bids finished. price : ['73700', None, None] . Quit.....")
log/03_log_warning.log:('2015-03-21 11:30:21.759105', "client 52570118 bids finished. price : ['73700', None, None] . Quit.....")
log/03_log_warning.log:('2015-03-21 11:30:21.800420', 'client 52567964 bids finished. price : [None, None, None] . Quit.....')
log/04_log_warning.log:('2015-03-21 11:30:21.220193', "client 52761254 bids finished. price : ['73700', None, None] . Quit.....")
log/04_log_warning.log:('2015-03-21 11:30:21.240502', "client 52564695 bids finished. price : ['73700', None, None] . Quit.....")
log/04_log_warning.log:('2015-03-21 11:30:21.378613', "client 52457537 bids finished. price : ['73700', None, None] . Quit.....")
log/04_log_warning.log:('2015-03-21 11:30:21.691216', "client 52476156 bids finished. price : ['73700', None, None] . Quit.....")
log/04_log_warning.log:('2015-03-21 11:30:21.815681', "client 52717181 bids finished. price : ['73700', None, None] . Quit.....")
log/04_log_warning.log:('2015-03-21 11:30:21.816168', "client 52740388 bids finished. price : ['73700', None, None] . Quit.....")
log/04_log_warning.log:('2015-03-21 11:30:24.057941', 'client 52709643 bids finished. price : [None, None, None] . Quit.....')
log/04_log_warning.log:('2015-03-21 11:30:28.048754', "client 52490529 bids finished. price : ['73700', None, None] . Quit.....")
log/05_log_warning.log:('2015-03-21 11:30:08.151499', "client 52719558 bids finished. price : ['73700', None, '74900'] . Quit.....")
log/05_log_warning.log:('2015-03-21 11:30:16.874651', 'client 52769318 bids finished. price : [None, None, None] . Quit.....')
log/05_log_warning.log:('2015-03-21 11:30:17.004424', "client 52496980 bids finished. price : ['73700', None, None] . Quit.....")
log/05_log_warning.log:('2015-03-21 11:30:20.851468', 'client 52709078 bids finished. price : [None, None, None] . Quit.....')
log/05_log_warning.log:('2015-03-21 11:30:20.851718', "client 52526629 bids finished. price : ['73700', None, None] . Quit.....")
log/05_log_warning.log:('2015-03-21 11:30:21.386539', 'client 52755418 bids finished. price : [None, None, None] . Quit.....')
log/05_log_warning.log:('2015-03-21 11:30:21.428884', "client 52451244 bids finished. price : ['73700', None, None] . Quit.....")
log/05_log_warning.log:('2015-03-21 11:30:23.650871', "client 52757059 bids finished. price : ['73700', None, None] . Quit.....")
log/06_log_warning.log:('2015-03-21 11:30:16.883152', "client 52730391 bids finished. price : ['73700', None, None] . Quit.....")
log/06_log_warning.log:('2015-03-21 11:30:20.884294', "client 52715083 bids finished. price : ['73700', None, None] . Quit.....")
log/06_log_warning.log:('2015-03-21 11:30:20.884606', "client 52724187 bids finished. price : ['73700', None, None] . Quit.....")
log/06_log_warning.log:('2015-03-21 11:30:20.884735', 'client 52767474 bids finished. price : [None, None, None] . Quit.....')
log/06_log_warning.log:('2015-03-21 11:30:21.062597', "client 52520542 bids finished. price : ['73700', None, None] . Quit.....")
log/06_log_warning.log:('2015-03-21 11:30:21.603503', "client 52744103 bids finished. price : ['73700', None, None] . Quit.....")
log/06_log_warning.log:('2015-03-21 11:30:21.964990', "client 52497796 bids finished. price : ['73700', None, None] . Quit.....")
log/06_log_warning.log:('2015-03-21 11:30:27.665805', "client 52764591 bids finished. price : ['73700', None, None] . Quit.....")
log/07_log_warning.log:('2015-03-21 11:30:07.109248', "client 52470653 bids finished. price : ['73700', None, '74900'] . Quit.....")
log/07_log_warning.log:('2015-03-21 11:30:07.114982', "client 52798101 bids finished. price : ['73700', None, '74900'] . Quit.....")
log/07_log_warning.log:('2015-03-21 11:30:07.354127', "client 52796296 bids finished. price : ['73700', None, '74900'] . Quit.....")
log/07_log_warning.log:('2015-03-21 11:30:07.687978', "client 52541216 bids finished. price : ['73700', None, '74900'] . Quit.....")
log/07_log_warning.log:('2015-03-21 11:30:18.385081', "client 52756890 bids finished. price : ['73700', None, None] . Quit.....")
log/07_log_warning.log:('2015-03-21 11:30:21.298300', "client 52452460 bids finished. price : ['73700', None, None] . Quit.....")
log/07_log_warning.log:('2015-03-21 11:30:21.299287', "client 52552697 bids finished. price : ['73700', None, None] . Quit.....")
log/07_log_warning.log:('2015-03-21 11:30:21.329052', "client 52726055 bids finished. price : ['73700', None, None] . Quit.....")
log/07_log_warning.log:('2015-03-21 11:30:27.941967', "client 52479794 bids finished. price : ['73700', None, None] . Quit.....")
log/08_log_warning.log:('2015-03-21 11:30:20.752579', 'client 52459327 bids finished. price : [None, None, None] . Quit.....')
log/08_log_warning.log:('2015-03-21 11:30:20.900024', "client 52588425 bids finished. price : ['73700', None, None] . Quit.....")
