('2015-01-17 09:36:41.725403', 'worker [4] started')
('2015-01-17 09:36:41.725470', 'client 10 initted')
('2015-01-17 09:36:42.010276', 'put_channel : channel login, group 0, time 2015-01-17 09:36:42.010164')
('2015-01-17 09:36:42.011469', 'put_channel : channel login, group 1, time 2015-01-17 09:36:42.011396')
('2015-01-17 09:36:42.018751', 'fd_channel : login[0] 1 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-01-17 09:36:42.021929', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-01-17 09:36:43.510195', 'put_channel : channel login, group 0, time 2015-01-17 09:36:43.510027')
('2015-01-17 09:36:43.514221', 'put_channel : channel login, group 1, time 2015-01-17 09:36:43.514058')
('2015-01-17 09:36:43.514937', 'fd_channel : login[0] 1 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-01-17 09:36:43.524363', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-01-17 09:36:45.007577', 'put_channel : channel login, group 0, time 2015-01-17 09:36:45.007485')
('2015-01-17 09:36:45.010738', 'put_channel : channel login, group 1, time 2015-01-17 09:36:45.010686')
('2015-01-17 09:36:45.011055', 'fd_channel : login[0] 1 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-01-17 09:36:45.026339', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-01-17 09:36:46.509918', 'put_channel : channel login, group 0, time 2015-01-17 09:36:46.509790')
('2015-01-17 09:36:46.511001', 'put_channel : channel login, group 1, time 2015-01-17 09:36:46.510903')
('2015-01-17 09:36:46.511711', 'fd_channel : login[0] 1 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-01-17 09:36:46.527955', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-01-17 09:36:48.009605', 'put_channel : channel login, group 0, time 2015-01-17 09:36:48.009532')
('2015-01-17 09:36:48.010487', 'put_channel : channel login, group 1, time 2015-01-17 09:36:48.010448')
('2015-01-17 09:36:48.010836', 'fd_channel : login[0] 1 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-01-17 09:36:48.029657', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-01-17 10:32:33.012295', 'put_channel : channel tb0, group 1, time 2015-01-17 10:32:33.012086')
('2015-01-17 10:32:33.237893', 'put_channel : channel tb0, group 0, time 2015-01-17 10:32:33.237804')
('2015-01-17 10:32:34.510191', 'put_channel : channel tb0, group 0, time 2015-01-17 10:32:34.509961')
('2015-01-17 10:32:34.512576', 'put_channel : channel tb0, group 1, time 2015-01-17 10:32:34.512478')
('2015-01-17 10:32:36.008850', 'put_channel : channel tb0, group 1, time 2015-01-17 10:32:36.008778')
('2015-01-17 10:32:37.509612', 'put_channel : channel tb0, group 0, time 2015-01-17 10:32:37.509484')
('2015-01-17 10:32:38.508264', 'put_channel : channel tb0, group 1, time 2015-01-17 10:32:38.508184')
('2015-01-17 10:32:39.013125', 'put_channel : channel tb0, group 1, time 2015-01-17 10:32:39.012998')
('2015-01-17 10:32:40.510994', 'put_channel : channel tb0, group 1, time 2015-01-17 10:32:40.510823')
('2015-01-17 10:32:40.512116', 'put_channel : channel tb0, group 0, time 2015-01-17 10:32:40.512034')
('2015-01-17 10:32:42.013329', 'put_channel : channel tb0, group 1, time 2015-01-17 10:32:42.013195')
('2015-01-17 10:32:43.047668', 'put_channel : channel tb0, group 0, time 2015-01-17 10:32:43.047437')
