('2015-03-21 09:55:34.979238', 'worker [8] started')
('2015-03-21 09:55:34.979303', 'client 8 initted')
('2015-03-21 09:55:36.009838', 'put_channel : channel login, group 1, time 2015-03-21 09:55:36.009717')
('2015-03-21 09:55:36.010374', 'put_channel : channel login, group 0, time 2015-03-21 09:55:36.010261')
('2015-03-21 09:55:36.016189', 'fd_channel : login[0] 1 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-03-21 09:55:36.176685', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-03-21 09:55:37.511224', 'put_channel : channel login, group 1, time 2015-03-21 09:55:37.511094')
('2015-03-21 09:55:37.512266', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-03-21 09:55:37.513898', 'put_channel : channel login, group 0, time 2015-03-21 09:55:37.513805')
('2015-03-21 09:55:37.679132', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-03-21 09:55:39.010035', 'put_channel : channel login, group 1, time 2015-03-21 09:55:39.009914')
('2015-03-21 09:55:39.010934', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-03-21 09:55:39.012225', 'put_channel : channel login, group 0, time 2015-03-21 09:55:39.012145')
('2015-03-21 09:55:39.181517', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-03-21 09:55:40.508936', 'put_channel : channel login, group 0, time 2015-03-21 09:55:40.508866')
('2015-03-21 09:55:40.509225', 'put_channel : channel login, group 1, time 2015-03-21 09:55:40.509180')
('2015-03-21 09:55:40.509486', 'fd_channel : login[0] 1 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-03-21 09:55:40.684462', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-03-21 10:32:31.508200', 'put_channel : channel tb0, group 1, time 2015-03-21 10:32:31.508072')
('2015-03-21 10:32:31.510385', 'put_channel : channel tb0, group 0, time 2015-03-21 10:32:31.510313')
('2015-03-21 10:32:33.009205', 'put_channel : channel tb0, group 1, time 2015-03-21 10:32:33.009127')
